name,draft_year,overall_pick,birth_date,draft_date,draft_age,birth_date_source,id_source
kenyon martin,2000,1.0,1977-12-30,2000-06-25,22.486,nba_api_commonplayerinfo,draft_history_person_id
stromile swift,2000,2.0,1979-11-21,2000-06-25,20.594,nba_api_commonplayerinfo,draft_history_person_id
darius miles,2000,3.0,1981-10-09,2000-06-25,18.71,nba_api_commonplayerinfo,draft_history_person_id
marcus fizer,2000,4.0,1978-08-10,2000-06-25,21.875,nba_api_commonplayerinfo,draft_history_person_id
mike miller,2000,5.0,1980-02-19,2000-06-25,20.348,nba_api_commonplayerinfo,draft_history_person_id
dermarr johnson,2000,6.0,1980-05-05,2000-06-25,20.14,nba_api_commonplayerinfo,draft_history_person_id
chris mihm,2000,7.0,1979-07-16,2000-06-25,20.945,nba_api_commonplayerinfo,draft_history_person_id
jamal crawford,2000,8.0,1980-03-20,2000-06-25,20.266,nba_api_commonplayerinfo,draft_history_person_id
joel przybilla,2000,9.0,1979-10-10,2000-06-25,20.709,nba_api_commonplayerinfo,draft_history_person_id
keyon dooling,2000,10.0,1980-05-08,2000-06-25,20.131,nba_api_commonplayerinfo,draft_history_person_id
jerome moiso,2000,11.0,1978-06-15,2000-06-25,22.029,nba_api_commonplayerinfo,draft_history_person_id
etan thomas,2000,12.0,1978-04-01,2000-06-25,22.234,nba_api_commonplayerinfo,draft_history_person_id
courtney alexander,2000,13.0,1977-04-27,2000-06-25,23.162,nba_api_commonplayerinfo,draft_history_person_id
mateen cleaves,2000,14.0,1977-09-07,2000-06-25,22.798,nba_api_commonplayerinfo,draft_history_person_id
jason collier,2000,15.0,1977-09-08,2000-06-25,22.795,nba_api_commonplayerinfo,draft_history_person_id
hedo turkoglu,2000,16.0,1979-03-19,2000-06-25,21.27,nba_api_commonplayerinfo,draft_history_person_id
desmond mason,2000,17.0,1977-10-11,2000-06-25,22.705,nba_api_commonplayerinfo,draft_history_person_id
quentin richardson,2000,18.0,1980-04-13,2000-06-25,20.2,nba_api_commonplayerinfo,draft_history_person_id
jamaal magloire,2000,19.0,1978-05-21,2000-06-25,22.097,nba_api_commonplayerinfo,draft_history_person_id
speedy claxton,2000,20.0,1978-05-08,2000-06-25,22.133,nba_api_commonplayerinfo,draft_history_person_id
morris peterson,2000,21.0,1977-08-26,2000-06-25,22.831,nba_api_commonplayerinfo,draft_history_person_id
donnell harvey,2000,22.0,1980-08-26,2000-06-25,19.83,nba_api_commonplayerinfo,draft_history_person_id
deshawn stevenson,2000,23.0,1981-04-03,2000-06-25,19.228,nba_api_commonplayerinfo,draft_history_person_id
dalibor bagaric,2000,24.0,1980-07-02,2000-06-25,19.981,nba_api_commonplayerinfo,draft_history_person_id
jake tsakalidis,2000,25.0,1979-06-10,2000-06-25,21.043,nba_api_commonplayerinfo,draft_history_person_id
mamadou n diaye,2000,26.0,1975-06-16,2000-06-25,25.027,nba_api_commonplayerinfo,draft_history_person_id
primoz brezec,2000,27.0,1979-10-02,2000-06-25,20.731,nba_api_commonplayerinfo,draft_history_person_id
erick barkley,2000,28.0,1978-02-21,2000-06-25,22.341,nba_api_commonplayerinfo,draft_history_person_id
mark madsen,2000,29.0,1976-01-28,2000-06-25,24.408,nba_api_commonplayerinfo,draft_history_person_id
marko jaric,2000,30.0,1978-12-10,2000-06-25,21.541,nba_api_commonplayerinfo,draft_history_person_id
dan langhi,2000,31.0,1977-11-28,2000-06-25,22.574,nba_api_commonplayerinfo,draft_history_person_id
a j guyton,2000,32.0,1978-02-12,2000-06-25,22.366,nba_api_commonplayerinfo,draft_history_person_id
jake voskuhl,2000,33.0,1977-11-01,2000-06-25,22.648,nba_api_commonplayerinfo,draft_history_person_id
khalid el amin,2000,34.0,1979-04-25,2000-06-25,21.169,nba_api_commonplayerinfo,draft_history_person_id
mike smith,2000,35.0,1976-04-15,2000-06-25,24.194,nba_api_commonplayerinfo,draft_history_person_id
soumaila samake,2000,36.0,1978-03-18,2000-06-25,22.272,nba_api_commonplayerinfo,draft_history_person_id
eddie house,2000,37.0,1978-05-14,2000-06-25,22.116,nba_api_commonplayerinfo,draft_history_person_id
eduardo najera,2000,38.0,1976-07-11,2000-06-25,23.956,nba_api_commonplayerinfo,draft_history_person_id
lavor postell,2000,39.0,1978-02-26,2000-06-25,22.327,nba_api_commonplayerinfo,draft_history_person_id
hanno mottola,2000,40.0,1976-09-09,2000-06-25,23.792,nba_api_commonplayerinfo,draft_history_person_id
chris carrawell,2000,41.0,,2000-06-25,,common_player_info_error:KeyError,draft_history_person_id
olumide oyedeji,2000,42.0,1981-05-11,2000-06-25,19.124,nba_api_commonplayerinfo,draft_history_person_id
michael redd,2000,43.0,1979-08-24,2000-06-25,20.838,nba_api_commonplayerinfo,draft_history_person_id
brian cardinal,2000,44.0,1977-05-02,2000-06-25,23.149,nba_api_commonplayerinfo,draft_history_person_id
jabari smith,2000,45.0,1977-02-12,2000-06-25,23.365,nba_api_commonplayerinfo,draft_history_person_id
deeandre hulett,2000,46.0,,2000-06-25,,common_player_info_error:KeyError,draft_history_person_id
josip sesar,2000,47.0,,2000-06-25,,common_player_info_error:KeyError,draft_history_person_id
mark karcher,2000,48.0,,2000-06-25,,common_player_info_error:KeyError,draft_history_person_id
jason hart,2000,49.0,1978-04-29,2000-06-25,22.157,nba_api_commonplayerinfo,draft_history_person_id
kaniel dickens,2000,50.0,1978-07-21,2000-06-25,21.93,nba_api_commonplayerinfo,draft_history_person_id
igor rakocevic,2000,51.0,1978-03-29,2000-06-25,22.242,nba_api_commonplayerinfo,draft_history_person_id
ernest brown,2000,52.0,1979-05-17,2000-06-25,21.109,nba_api_commonplayerinfo,draft_history_person_id
dan mcclintock,2000,53.0,1977-04-19,2000-06-25,23.184,nba_api_commonplayerinfo,draft_history_person_id
cory hightower,2000,54.0,,2000-06-25,,common_player_info_error:KeyError,draft_history_person_id
chris porter,2000,55.0,1978-05-09,2000-06-25,22.13,nba_api_commonplayerinfo,draft_history_person_id
jaquay walls,2000,56.0,,2000-06-25,,common_player_info_error:KeyError,draft_history_person_id
scoonie penn,2000,57.0,,2000-06-25,,common_player_info_error:KeyError,draft_history_person_id
pete mickeal,2000,58.0,,2000-06-25,,common_player_info_error:KeyError,draft_history_person_id
a j granger,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
alex scales,2000,999.0,1978-07-03,2000-06-25,21.979,nba_api_commonplayerinfo,combine_player_id
antonis fotsis,2000,999.0,1981-04-01,2000-06-25,19.233,nba_api_commonplayerinfo,combine_player_id
aubrey reese,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
bootsy thornton,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
brandon kurtz,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
brian montonati,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
caswell cyrus,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
ceedric goodwyn,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
damon reed,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
ed cota,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
eddie gill,2000,999.0,1978-08-16,2000-06-25,21.859,nba_api_commonplayerinfo,combine_player_id
eric coley,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
gabe muoneke,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
harold arceneaux,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
jacob jaacks,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
jameel watkins,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
jarrett stephens,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
jimmie hunter,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
johnny hemsley,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
julius doc robinson,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
justin love,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
karim shabazz,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
kenyon jones,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
lamont barnes,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
malik allen,2000,999.0,1978-06-27,2000-06-25,21.996,nba_api_commonplayerinfo,combine_player_id
marcus goree,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
mario bland,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
matt santangelo,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
matthew nielsen,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
michael hermon,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
nate johnson,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
ndongo n diaye,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
nick sheppard,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
pepe sanchez,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
reed rawlings,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
ron hale,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
schea cotton,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
shaheen holloway,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
terrance roberson,2000,999.0,1976-12-30,2000-06-25,23.485,nba_api_commonplayerinfo,combine_player_id
vassil evtimov,2000,999.0,,2000-06-25,,common_player_info_error:KeyError,combine_player_id
kwame brown,2001,1.0,1982-03-10,2001-06-25,19.294,nba_api_commonplayerinfo,draft_history_person_id
tyson chandler,2001,2.0,1982-10-02,2001-06-25,18.73,nba_api_commonplayerinfo,draft_history_person_id
pau gasol,2001,3.0,1980-07-06,2001-06-25,20.969,nba_api_commonplayerinfo,draft_history_person_id
eddy curry,2001,4.0,1982-12-05,2001-06-25,18.554,nba_api_commonplayerinfo,draft_history_person_id
jason richardson,2001,5.0,1981-01-20,2001-06-25,20.427,nba_api_commonplayerinfo,draft_history_person_id
shane battier,2001,6.0,1978-09-09,2001-06-25,22.793,nba_api_commonplayerinfo,draft_history_person_id
eddie griffin,2001,7.0,1982-05-30,2001-06-25,19.072,nba_api_commonplayerinfo,draft_history_person_id
desagana diop,2001,8.0,1982-01-30,2001-06-25,19.4,nba_api_commonplayerinfo,draft_history_person_id
rodney white,2001,9.0,1980-06-28,2001-06-25,20.991,nba_api_commonplayerinfo,draft_history_person_id
joe johnson,2001,10.0,1981-06-29,2001-06-25,19.989,nba_api_commonplayerinfo,draft_history_person_id
kedrick brown,2001,11.0,1981-03-18,2001-06-25,20.271,nba_api_commonplayerinfo,draft_history_person_id
vladimir radmanovic,2001,12.0,1980-11-19,2001-06-25,20.597,nba_api_commonplayerinfo,draft_history_person_id
richard jefferson,2001,13.0,1980-06-21,2001-06-25,21.01,nba_api_commonplayerinfo,draft_history_person_id
troy murphy,2001,14.0,1980-05-02,2001-06-25,21.147,nba_api_commonplayerinfo,draft_history_person_id
steven hunter,2001,15.0,1981-10-31,2001-06-25,19.65,nba_api_commonplayerinfo,draft_history_person_id
kirk haston,2001,16.0,1979-03-10,2001-06-25,22.294,nba_api_commonplayerinfo,draft_history_person_id
michael bradley,2001,17.0,1979-04-18,2001-06-25,22.188,nba_api_commonplayerinfo,draft_history_person_id
jason collins,2001,18.0,1978-12-02,2001-06-25,22.563,nba_api_commonplayerinfo,draft_history_person_id
zach randolph,2001,19.0,1981-07-16,2001-06-25,19.943,nba_api_commonplayerinfo,draft_history_person_id
brendan haywood,2001,20.0,1979-11-27,2001-06-25,21.577,nba_api_commonplayerinfo,draft_history_person_id
joseph forte,2001,21.0,1981-03-23,2001-06-25,20.257,nba_api_commonplayerinfo,draft_history_person_id
jeryl sasser,2001,22.0,1979-02-13,2001-06-25,22.363,nba_api_commonplayerinfo,draft_history_person_id
brandon armstrong,2001,23.0,1980-06-16,2001-06-25,21.024,nba_api_commonplayerinfo,draft_history_person_id
raul lopez,2001,24.0,1980-04-15,2001-06-25,21.194,nba_api_commonplayerinfo,draft_history_person_id
gerald wallace,2001,25.0,1982-07-23,2001-06-25,18.924,nba_api_commonplayerinfo,draft_history_person_id
samuel dalembert,2001,26.0,1980-05-10,2001-06-25,21.125,nba_api_commonplayerinfo,draft_history_person_id
jamaal tinsley,2001,27.0,1978-02-28,2001-06-25,23.321,nba_api_commonplayerinfo,draft_history_person_id
tony parker,2001,28.0,1982-05-17,2001-06-25,19.107,nba_api_commonplayerinfo,draft_history_person_id
trenton hassell,2001,29.0,1979-03-04,2001-06-25,22.311,nba_api_commonplayerinfo,draft_history_person_id
gilbert arenas,2001,30.0,1982-01-06,2001-06-25,19.466,nba_api_commonplayerinfo,draft_history_person_id
omar cook,2001,31.0,1982-01-28,2001-06-25,19.406,nba_api_commonplayerinfo,draft_history_person_id
will solomon,2001,32.0,1978-07-20,2001-06-25,22.932,nba_api_commonplayerinfo,draft_history_person_id
terence morris,2001,33.0,1979-01-11,2001-06-25,22.453,nba_api_commonplayerinfo,draft_history_person_id
brian scalabrine,2001,34.0,1978-03-18,2001-06-25,23.272,nba_api_commonplayerinfo,draft_history_person_id
jeff trepagnier,2001,35.0,1979-07-11,2001-06-25,21.958,nba_api_commonplayerinfo,draft_history_person_id
damone brown,2001,36.0,1979-06-28,2001-06-25,21.993,nba_api_commonplayerinfo,draft_history_person_id
mehmet okur,2001,37.0,1979-05-26,2001-06-25,22.084,nba_api_commonplayerinfo,draft_history_person_id
michael wright,2001,38.0,,2001-06-25,,common_player_info_error:KeyError,draft_history_person_id
earl watson,2001,39.0,1979-06-12,2001-06-25,22.037,nba_api_commonplayerinfo,draft_history_person_id
jamison brewer,2001,40.0,1980-11-19,2001-06-25,20.597,nba_api_commonplayerinfo,draft_history_person_id
bobby simmons,2001,41.0,1980-06-02,2001-06-25,21.062,nba_api_commonplayerinfo,draft_history_person_id
eric chenowith,2001,42.0,,2001-06-25,,common_player_info_error:KeyError,draft_history_person_id
kyle hill,2001,43.0,,2001-06-25,,common_player_info_error:KeyError,draft_history_person_id
sean lampley,2001,44.0,1979-09-03,2001-06-25,21.81,nba_api_commonplayerinfo,draft_history_person_id
loren woods,2001,45.0,1978-06-21,2001-06-25,23.012,nba_api_commonplayerinfo,draft_history_person_id
ousmane cisse,2001,46.0,,2001-06-25,,common_player_info_error:KeyError,draft_history_person_id
antonis fotsis,2001,47.0,1981-04-01,2001-06-25,20.233,nba_api_commonplayerinfo,draft_history_person_id
ken johnson,2001,48.0,1978-02-01,2001-06-25,23.395,nba_api_commonplayerinfo,draft_history_person_id
ruben boumtje boumtje,2001,49.0,1978-05-20,2001-06-25,23.099,nba_api_commonplayerinfo,draft_history_person_id
alton ford,2001,50.0,1981-05-29,2001-06-25,20.074,nba_api_commonplayerinfo,draft_history_person_id
andre hutson,2001,51.0,1979-01-12,2001-06-25,22.45,nba_api_commonplayerinfo,draft_history_person_id
jarron collins,2001,52.0,1978-12-02,2001-06-25,22.563,nba_api_commonplayerinfo,draft_history_person_id
kenny satterfield,2001,53.0,1981-04-10,2001-06-25,20.208,nba_api_commonplayerinfo,draft_history_person_id
maurice jeffers,2001,54.0,,2001-06-25,,common_player_info_error:KeyError,draft_history_person_id
robertas javtokas,2001,55.0,,2001-06-25,,common_player_info_error:KeyError,draft_history_person_id
alvin jones,2001,56.0,1978-09-09,2001-06-25,22.793,nba_api_commonplayerinfo,draft_history_person_id
bryan bracey,2001,57.0,,2001-06-25,,common_player_info_error:KeyError,draft_history_person_id
adam allenspach,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
anthony evans,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
benjamin eze,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
brent wright,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
calvin bowman,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
charles hathaway,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
charlie bell,2001,999.0,1979-03-12,2001-06-25,22.289,nba_api_commonplayerinfo,combine_player_id
cookie belcher,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
damone thornton,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
darrell johns,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
darren kelly,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
demarcus minor,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
demetrius porter,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
greg stevenson,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
gyasi cline heard,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
horace jenkins,2001,999.0,1974-10-14,2001-06-25,26.697,nba_api_commonplayerinfo,combine_player_id
jamario moon,2001,999.0,1980-06-13,2001-06-25,21.032,nba_api_commonplayerinfo,combine_player_id
jason gardner,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
jerry green,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
kenny gregory,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
kimani ffriend,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
lazaros papadopoulos,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
lee scruggs,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
martin rancik,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
maurice evans,2001,999.0,1978-11-08,2001-06-25,22.628,nba_api_commonplayerinfo,combine_player_id
michael hicks,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
mike mardesich,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
nate james,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
norman richardson,2001,999.0,1977-07-24,2001-06-25,23.921,nba_api_commonplayerinfo,combine_player_id
rashad phillips,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
robb dryden,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
ryan carroll,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
sam clancy,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
sirvaliant brown,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
souleymane wane,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
tate decker,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
tory walker,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
troy ostler,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
zach marbury,2001,999.0,,2001-06-25,,common_player_info_error:KeyError,combine_player_id
yao ming,2002,1.0,1980-09-12,2002-06-25,21.782,nba_api_commonplayerinfo,draft_history_person_id
jay williams,2002,2.0,1981-09-10,2002-06-25,20.789,nba_api_commonplayerinfo,draft_history_person_id
mike dunleavy,2002,3.0,1980-09-15,2002-06-25,21.774,nba_api_commonplayerinfo,draft_history_person_id
drew gooden,2002,4.0,1981-09-24,2002-06-25,20.75,nba_api_commonplayerinfo,draft_history_person_id
nikoloz tskitishvili,2002,5.0,1983-04-14,2002-06-25,19.198,nba_api_commonplayerinfo,draft_history_person_id
dajuan wagner,2002,6.0,1983-02-04,2002-06-25,19.387,nba_api_commonplayerinfo,draft_history_person_id
nene,2002,7.0,1982-09-13,2002-06-25,19.781,nba_api_commonplayerinfo,draft_history_person_id
chris wilcox,2002,8.0,1982-09-03,2002-06-25,19.808,nba_api_commonplayerinfo,draft_history_person_id
amar e stoudemire,2002,9.0,1982-11-16,2002-06-25,19.606,nba_api_commonplayerinfo,draft_history_person_id
caron butler,2002,10.0,1980-03-13,2002-06-25,22.283,nba_api_commonplayerinfo,draft_history_person_id
jared jeffries,2002,11.0,1981-11-25,2002-06-25,20.58,nba_api_commonplayerinfo,draft_history_person_id
melvin ely,2002,12.0,1978-05-02,2002-06-25,24.148,nba_api_commonplayerinfo,draft_history_person_id
marcus haislip,2002,13.0,1980-12-22,2002-06-25,21.506,nba_api_commonplayerinfo,draft_history_person_id
fred jones,2002,14.0,1979-03-11,2002-06-25,23.291,nba_api_commonplayerinfo,draft_history_person_id
bostjan nachbar,2002,15.0,1980-07-03,2002-06-25,21.977,nba_api_commonplayerinfo,draft_history_person_id
jiri welsch,2002,16.0,1980-01-27,2002-06-25,22.409,nba_api_commonplayerinfo,draft_history_person_id
juan dixon,2002,17.0,1978-10-09,2002-06-25,23.71,nba_api_commonplayerinfo,draft_history_person_id
curtis borchardt,2002,18.0,1980-09-13,2002-06-25,21.78,nba_api_commonplayerinfo,draft_history_person_id
ryan humphrey,2002,19.0,1979-07-24,2002-06-25,22.921,nba_api_commonplayerinfo,draft_history_person_id
kareem rush,2002,20.0,1980-10-30,2002-06-25,21.651,nba_api_commonplayerinfo,draft_history_person_id
qyntel woods,2002,21.0,1981-02-16,2002-06-25,21.352,nba_api_commonplayerinfo,draft_history_person_id
casey jacobsen,2002,22.0,1981-03-19,2002-06-25,21.268,nba_api_commonplayerinfo,draft_history_person_id
tayshaun prince,2002,23.0,1980-02-28,2002-06-25,22.322,nba_api_commonplayerinfo,draft_history_person_id
nenad krstic,2002,24.0,1983-07-25,2002-06-25,18.919,nba_api_commonplayerinfo,draft_history_person_id
frank williams,2002,25.0,1980-02-25,2002-06-25,22.33,nba_api_commonplayerinfo,draft_history_person_id
john salmons,2002,26.0,1979-12-12,2002-06-25,22.535,nba_api_commonplayerinfo,draft_history_person_id
chris jefferies,2002,27.0,1980-02-13,2002-06-25,22.363,nba_api_commonplayerinfo,draft_history_person_id
dan dickau,2002,28.0,1978-09-16,2002-06-25,23.773,nba_api_commonplayerinfo,draft_history_person_id
steve logan,2002,29.0,,2002-06-25,,common_player_info_error:KeyError,draft_history_person_id
roger mason,2002,30.0,1980-09-10,2002-06-25,21.788,nba_api_commonplayerinfo,draft_history_person_id
robert archibald,2002,31.0,1980-03-29,2002-06-25,22.24,nba_api_commonplayerinfo,draft_history_person_id
vincent yarbrough,2002,32.0,1981-03-21,2002-06-25,21.262,nba_api_commonplayerinfo,draft_history_person_id
dan gadzuric,2002,33.0,1978-02-02,2002-06-25,24.392,nba_api_commonplayerinfo,draft_history_person_id
carlos boozer,2002,34.0,1981-11-20,2002-06-25,20.594,nba_api_commonplayerinfo,draft_history_person_id
milos vujanic,2002,35.0,1980-11-13,2002-06-25,21.613,nba_api_commonplayerinfo,draft_history_person_id
david andersen,2002,36.0,1980-06-23,2002-06-25,22.004,nba_api_commonplayerinfo,draft_history_person_id
tito maddox,2002,37.0,1981-06-08,2002-06-25,21.046,nba_api_commonplayerinfo,draft_history_person_id
rod grizzard,2002,38.0,,2002-06-25,,common_player_info_error:KeyError,draft_history_person_id
juan carlos navarro,2002,39.0,1980-06-13,2002-06-25,22.031,nba_api_commonplayerinfo,draft_history_person_id
mario kasun,2002,40.0,1980-04-05,2002-06-25,22.22,nba_api_commonplayerinfo,draft_history_person_id
flip murray,2002,41.0,1979-07-29,2002-06-25,22.908,nba_api_commonplayerinfo,draft_history_person_id
jason jennings,2002,42.0,,2002-06-25,,common_player_info_error:KeyError,draft_history_person_id
lonny baxter,2002,43.0,1979-01-27,2002-06-25,23.409,nba_api_commonplayerinfo,draft_history_person_id
sam clancy,2002,44.0,,2002-06-25,,common_player_info_error:KeyError,draft_history_person_id
matt barnes,2002,45.0,1980-03-09,2002-06-25,22.294,nba_api_commonplayerinfo,draft_history_person_id
jamal sampson,2002,46.0,1983-05-15,2002-06-25,19.113,nba_api_commonplayerinfo,draft_history_person_id
chris owens,2002,47.0,1979-03-01,2002-06-25,23.318,nba_api_commonplayerinfo,draft_history_person_id
peter fehse,2002,48.0,,2002-06-25,,common_player_info_error:KeyError,draft_history_person_id
darius songaila,2002,49.0,1978-02-14,2002-06-25,24.359,nba_api_commonplayerinfo,draft_history_person_id
federico kammerichs,2002,50.0,,2002-06-25,,common_player_info_error:KeyError,draft_history_person_id
marcus taylor,2002,51.0,,2002-06-25,,common_player_info_error:KeyError,draft_history_person_id
rasual butler,2002,52.0,1979-05-23,2002-06-25,23.091,nba_api_commonplayerinfo,draft_history_person_id
tamar slay,2002,53.0,1980-04-02,2002-06-25,22.229,nba_api_commonplayerinfo,draft_history_person_id
mladen sekularac,2002,54.0,,2002-06-25,,common_player_info_error:KeyError,draft_history_person_id
luis scola,2002,55.0,1980-04-30,2002-06-25,22.152,nba_api_commonplayerinfo,draft_history_person_id
randy holcomb,2002,56.0,1979-08-08,2002-06-25,22.88,nba_api_commonplayerinfo,draft_history_person_id
corsley edwards,2002,57.0,1979-03-05,2002-06-25,23.307,nba_api_commonplayerinfo,draft_history_person_id
aaron mcghee,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
andy ellis,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
anthony grundy,2002,999.0,1979-04-15,2002-06-25,23.195,nba_api_commonplayerinfo,combine_player_id
brian brown,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
brooks sales,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
byron mouton,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
chris burgess,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
chris christoffersen,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
chris massie,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
cordell henry,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
craig dawson,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
damon hancock,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
david graves,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
elvin mims,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
george williams,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
greg harrington,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
immanuel mcelroy,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
israel sheinfeld,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
j r bremer,2002,999.0,1980-09-19,2002-06-25,21.763,nba_api_commonplayerinfo,combine_player_id
jannero pargo,2002,999.0,1979-10-22,2002-06-25,22.675,nba_api_commonplayerinfo,combine_player_id
jobey thomas,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
julian sensley,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
kei madison,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
kevin lyde,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
kris lang,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
lee benson,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
lenny cooke,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
lonnie jones,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
lubos barton,2002,999.0,,2002-06-25,,common_player_info_error:KeyError,combine_player_id
