name,draft_year,overall_pick,position,organization,organization_type,draft_team_abbreviation,height_wo_shoes_in,height_w_shoes_in,weight_lbs,wingspan_in,standing_reach_in,body_fat_pct,hand_length_in,hand_width_in,standing_vertical_leap_in,max_vertical_leap_in,lane_agility_time_sec,modified_lane_agility_time_sec,three_quarter_sprint_sec,bench_press_reps,ncaa_conf,ncaa_pos,ncaa_exp,ncaa_height,ncaa_games,ncaa_mpg,ncaa_ppg,ncaa_fg_pct,ncaa_two_pct,ncaa_three_pct,ncaa_ft_pct,ncaa_oreb,ncaa_dreb,ncaa_rpg,ncaa_apg,ncaa_ast_to,ncaa_spg,ncaa_bpg,ncaa_tpg,ncaa_ortg,ncaa_adj_oe,ncaa_drtg,ncaa_porpag,ncaa_dporpag,ncaa_bpm,ncaa_obpm,ncaa_dbpm,ncaa_usage,birth_date,draft_age
speedy claxton,2000,20.0,PG,Hofstra,College/University,PHI,70.5,,166.0,72.0,94.5,,,,36.0,42.5,10.48,,3.06,6.0,AmEast,,,,31.0,35.1,22.8,0.47,0.5,0.381,0.764,,,5.4,6.0,,3.3,0.2,3.3,,,,,,,,,,1978-05-08,22.141
morris peterson,2000,21.0,,Michigan State,College/University,TOR,,,,,,,,,,,,,,,Big Ten,,,,39.0,29.1,16.8,0.465,0.494,0.425,0.773,,,6.0,1.3,,1.2,0.3,2.2,,,,,,,,,,1977-08-26,22.839
donnell harvey,2000,22.0,PF,Florida,College/University,NYK,79.25,,220.0,84.5,105.5,,,,33.0,32.5,11.23,,,15.0,SEC,,,,37.0,20.2,10.1,0.507,0.509,0.0,0.61,,,7.0,1.0,,0.7,0.8,1.6,,,,,,,,,,1980-08-26,19.838
deshawn stevenson,2000,23.0,,Washington Union,High School,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981-04-03,19.236
dalibor bagaric,2000,24.0,,KK Dubrava (Croatia),Other Team/Club,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980-07-02,19.989
jake tsakalidis,2000,25.0,,A.E.K. Athens B.C. (Greece),Other Team/Club,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979-06-10,21.051
mamadou n diaye,2000,26.0,,Auburn,College/University,DEN,,,,,,,,,,,,,,,SEC,,,,34.0,26.6,8.9,0.535,0.535,,0.665,,,7.9,0.5,,0.8,1.9,2.1,,,,,,,,,,1975-06-16,25.035
primoz brezec,2000,27.0,C,KK Olimpija (Slovenia),Other Team/Club,IND,84.75,,243.0,86.0,110.0,,,,26.0,29.5,11.53,,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979-10-02,20.739
erick barkley,2000,28.0,,St. John's (NY),College/University,POR,,,,,,,,,,,,,,,Big East,,,,28.0,36.9,16.0,0.398,0.454,0.313,0.664,,,3.0,4.5,,3.0,0.3,2.4,,,,,,,,,,1978-02-21,22.349
mark madsen,2000,29.0,PF,Stanford,College/University,LAL,80.0,,236.5,84.5,104.5,,,,30.5,33.5,12.12,,3.46,13.0,Pac-10,,,,23.0,27.3,12.2,0.587,0.587,,0.575,,,9.3,1.1,,0.6,0.9,1.5,,,,,,,,,,1976-01-28,24.416
marko jaric,2000,30.0,SG-SF,Fortitudo Pallacanestro Bologna (Italy),Other Team/Club,LAC,78.5,,210.0,81.0,104.0,,,,27.5,33.0,11.32,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-12-10,21.55
dan langhi,2000,31.0,SF,Vanderbilt,College/University,DAL,81.0,,197.5,80.0,104.0,,,,31.0,34.5,10.85,,3.24,12.0,SEC,,,,30.0,34.4,22.1,0.477,0.511,0.403,0.871,,,6.0,0.8,,0.4,0.3,1.8,,,,,,,,,,1977-11-28,22.582
a j guyton,2000,32.0,PG-SG,Indiana,College/University,CHI,72.75,,175.0,75.75,97.5,,,,33.0,37.5,10.55,,3.22,9.0,Big Ten,,,,29.0,34.3,19.7,0.459,0.485,0.419,0.789,,,3.1,2.3,,1.0,0.4,2.4,,,,,,,,,,1978-02-12,22.374
jake voskuhl,2000,33.0,,Connecticut,College/University,CHI,,,,,,,,,,,,,,,Big East,,,,34.0,22.9,8.5,0.571,0.571,,0.683,,,6.4,1.1,,0.5,1.4,1.8,,,,,,,,,,1977-11-01,22.656
khalid el amin,2000,34.0,PG,Connecticut,College/University,CHI,69.0,,200.0,73.5,93.0,,,,27.5,32.0,10.59,,3.32,6.0,Big East,,,,35.0,31.9,16.0,0.411,0.443,0.356,0.892,,,3.1,5.2,,1.7,0.1,2.7,,,,,,,,,,1979-04-25,21.177
mike smith,2000,35.0,SF,Louisiana-Monroe,College/University,WAS,78.5,,198.0,80.5,103.0,,,,33.0,21.0,11.32,,3.22,12.0,Southland,,,,28.0,36.1,20.1,0.424,0.511,0.338,0.801,,,9.4,3.4,,1.5,0.9,4.3,,,,,,,,,,1976-04-15,24.203
soumaila samake,2000,36.0,,Cincinnati Stuff (IBL),Other Team/Club,NJN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-03-18,22.281
eddie house,2000,37.0,SG-PG,Arizona State,College/University,MIA,71.75,,176.5,75.5,95.0,,,,29.5,38.5,11.12,,3.27,5.0,Pac-10,,,,32.0,37.2,23.0,0.422,0.449,0.365,0.835,,,5.5,3.5,,2.3,0.1,2.3,,,,,,,,,,1978-05-14,22.125
eduardo najera,2000,38.0,PF-SF,Oklahoma,College/University,HOU,78.5,,234.5,83.5,104.5,,,,28.0,35.0,11.38,,3.45,15.0,Big 12,,,,34.0,34.2,18.4,0.455,0.5,0.22,0.688,,,9.2,2.1,,1.7,0.7,2.4,,,,,,,,,,1976-07-11,23.964
lavor postell,2000,39.0,SG,St. John's (NY),College/University,NYK,76.5,,205.0,80.5,101.5,,,,33.5,36.5,11.79,,3.3,17.0,Big East,,,,33.0,35.0,14.3,0.428,0.463,0.294,0.809,,,6.9,1.8,,0.9,0.6,1.5,,,,,,,,,,1978-02-26,22.335
hanno mottola,2000,40.0,,Utah,College/University,ATL,,,,,,,,,,,,,,,MWC,,,,21.0,27.6,17.0,0.498,0.549,0.35,0.827,,,4.8,1.7,,0.2,0.6,3.0,,,,,,,,,,1976-09-09,23.8
chris carrawell,2000,41.0,,Duke,College/University,SAS,,,,,,,,,,,,,,,ACC,,,,34.0,35.6,16.9,0.486,0.51,0.377,0.778,,,6.1,3.2,,1.0,1.1,2.0,,,,,,,,,,1977-11-25,22.59
olumide oyedeji,2000,42.0,,DJK Wurzburg (Germany),Other Team/Club,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981-05-11,19.132
michael redd,2000,43.0,SG-SF,Ohio State,College/University,MIL,76.75,,214.0,81.0,102.0,,,,27.0,31.0,12.06,,3.34,12.0,Big Ten,,,,30.0,33.5,17.3,0.436,0.474,0.315,0.776,,,6.5,2.1,,1.2,0.2,2.1,,,,,,,,,,1979-08-24,20.846
