name,draft_year,overall_pick,position,organization,organization_type,draft_team_abbreviation,height_wo_shoes_in,height_w_shoes_in,weight_lbs,wingspan_in,standing_reach_in,body_fat_pct,hand_length_in,hand_width_in,standing_vertical_leap_in,max_vertical_leap_in,lane_agility_time_sec,modified_lane_agility_time_sec,three_quarter_sprint_sec,bench_press_reps,ncaa_conf,ncaa_pos,ncaa_exp,ncaa_height,ncaa_games,ncaa_mpg,ncaa_ppg,ncaa_fg_pct,ncaa_two_pct,ncaa_three_pct,ncaa_ft_pct,ncaa_oreb,ncaa_dreb,ncaa_rpg,ncaa_apg,ncaa_ast_to,ncaa_spg,ncaa_bpg,ncaa_tpg,ncaa_ortg,ncaa_adj_oe,ncaa_drtg,ncaa_porpag,ncaa_dporpag,ncaa_bpm,ncaa_obpm,ncaa_dbpm,ncaa_usage,birth_date,draft_age
corey brewer,2007,7.0,SF-SG,Florida,College/University,MIN,78.0,79.75,185.0,80.25,103.0,4.2,,,30.5,36.5,11.69,,3.22,11.0,SEC,,,,37.0,29.0,13.2,0.475,0.544,0.336,0.723,,,4.7,2.9,,1.9,0.4,2.5,,,,,,,,,,1986-03-05,21.314
brandan wright,2007,8.0,PF,North Carolina,College/University,CHA,80.75,82.0,200.0,87.75,108.5,5.8,,,30.5,35.5,11.76,,3.31,2.0,ACC,,,,37.0,27.4,14.7,0.646,0.646,,0.567,,,6.2,1.0,,1.0,1.8,1.6,,,,,,,,,,1987-10-05,19.729
joakim noah,2007,9.0,PF,Florida,College/University,CHI,82.0,84.0,223.0,85.25,106.5,4.8,,,32.5,37.5,11.79,,3.47,12.0,SEC,,,,40.0,25.9,12.0,0.607,0.606,1.0,0.663,,,8.4,2.3,,1.1,1.8,2.5,,,,,,,,,,1985-02-25,22.335
spencer hawes,2007,10.0,PF,Washington,College/University,SAC,82.0,84.75,244.0,84.5,110.0,13.0,,,26.0,29.0,11.88,,3.51,9.0,Pac-10,,,,31.0,28.9,14.9,0.532,0.533,0.333,0.755,,,6.4,1.9,,0.5,1.7,2.5,,,,,,,,,,1988-04-28,19.165
acie law,2007,11.0,PG,Texas A&M,College/University,ATL,74.0,75.5,186.0,78.5,98.0,5.6,,,29.0,34.0,11.0,,3.22,8.0,Big 12,,,,34.0,33.9,18.1,0.5,0.51,0.458,0.778,,,3.3,5.0,,1.1,0.0,2.6,,,,,,,,,,1985-01-25,22.42
thaddeus young,2007,12.0,SF,Georgia Tech,College/University,PHI,77.75,79.5,210.0,83.5,106.0,4.9,,,34.5,37.0,11.06,,3.19,13.0,ACC,,,,31.0,29.6,14.4,0.478,0.498,0.419,0.743,,,4.9,2.0,,1.3,0.4,2.2,,,,,,,,,,1988-06-21,19.017
julian wright,2007,13.0,SF-PF,Kansas,College/University,NOH,78.5,80.5,211.0,86.25,108.0,6.1,,,28.5,33.5,11.48,,3.36,2.0,Big 12,,,,38.0,27.6,12.0,0.549,0.562,0.231,0.613,,,7.8,2.2,,1.4,1.3,2.4,,,,,,,,,,1987-05-20,20.107
al thornton,2007,14.0,SF,Florida State,College/University,LAC,77.75,79.0,221.0,85.0,104.0,5.8,,,35.0,41.0,11.96,,3.16,9.0,ACC,,,,35.0,31.2,19.7,0.53,0.549,0.444,0.79,,,7.2,0.7,,1.5,1.1,2.5,,,,,,,,,,1983-12-07,23.556
rodney stuckey,2007,15.0,SG-PG,Eastern Washington,College/University,DET,75.75,76.5,207.0,79.25,100.5,6.1,,,30.5,35.0,11.34,,3.11,14.0,Big Sky,,,,29.0,33.3,24.6,0.453,0.541,0.267,0.846,,,4.7,5.5,,2.4,0.3,3.4,,,,,,,,,,1986-04-21,21.185
nick young,2007,16.0,SG-SF,Southern California,College/University,WAS,77.0,78.75,206.0,84.0,100.5,6.8,,,39.5,40.5,11.0,,3.25,6.0,Pac-10,,,,37.0,33.2,17.5,0.525,0.549,0.44,0.786,,,4.6,1.4,,0.7,0.3,2.4,,,,,,,,,,1985-06-01,22.073
sean williams,2007,17.0,,Boston College,College/University,NJN,,,,,,,,,,,,,,,ACC,,,,15.0,32.2,12.1,0.548,0.548,,0.7,,,6.9,1.2,,1.4,5.0,2.3,,,,,,,,,,1986-09-13,20.789
marco belinelli,2007,18.0,,Fortitudo Pallacanestro Bologna (Italy),Other Team/Club,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986-03-25,21.259
javaris crittenton,2007,19.0,PG,Georgia Tech,College/University,LAL,75.0,76.75,194.0,77.5,98.0,4.5,,,32.5,38.0,11.6,,3.32,11.0,ACC,,,,32.0,31.3,14.4,0.45,0.488,0.356,0.783,,,3.7,5.8,,2.0,0.1,3.9,,,,,,,,,,1987-12-31,19.491
jason smith,2007,20.0,PF,Colorado State,College/University,MIA,82.75,83.5,233.0,82.75,106.0,7.5,,,33.5,37.5,10.96,,3.29,15.0,MWC,,,,30.0,30.2,16.8,0.579,0.585,0.0,0.77,,,10.1,1.9,,0.5,1.6,3.4,,,,,,,,,,1986-03-02,21.322
daequan cook,2007,21.0,SG,Ohio State,College/University,PHI,75.0,77.75,203.0,80.25,101.5,7.0,,,30.0,34.5,11.12,,3.22,4.0,Big Ten,,,,39.0,19.7,9.8,0.445,0.465,0.415,0.697,,,4.3,1.0,,0.7,0.3,1.4,,,,,,,,,,1987-04-28,20.167
jared dudley,2007,22.0,SF,Boston College,College/University,CHA,77.0,79.25,219.0,79.0,102.0,7.1,,,28.0,32.0,11.32,,3.45,14.0,ACC,,,,30.0,38.4,19.0,0.562,0.602,0.443,0.743,,,8.3,3.0,,1.4,0.3,2.6,,,,,,,,,,1985-07-10,21.966
wilson chandler,2007,23.0,,DePaul,College/University,NYK,,,,,,,,,,,,,,,Big East,,,,34.0,31.7,14.6,0.45,0.494,0.333,0.654,,,6.9,1.4,,0.6,1.4,1.6,,,,,,,,,,1987-05-10,20.134
rudy fernandez,2007,24.0,,Joventut Badalona (Spain),Other Team/Club,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985-04-04,22.231
morris almond,2007,25.0,,Rice,College/University,UTA,,,,,,,,,,,,,,,CUSA,,,,32.0,33.4,26.4,0.483,0.496,0.456,0.846,,,6.6,1.2,,1.2,0.8,3.4,,,,,,,,,,1985-02-02,22.398
aaron brooks,2007,26.0,PG,Oregon,College/University,HOU,70.0,71.75,161.0,76.0,94.0,2.7,,,32.5,39.5,10.57,,3.2,6.0,Pac-10,,,,35.0,36.8,17.7,0.46,0.502,0.404,0.846,,,4.3,4.3,,1.4,0.2,2.5,,,,,,,,,,1985-01-14,22.45
arron afflalo,2007,27.0,,California-Los Angeles,College/University,DET,,,,,,,,,,,,,,,Pac-10,,,,36.0,32.9,16.9,0.461,0.549,0.375,0.802,,,2.8,1.9,,0.6,0.2,1.8,,,,,,,,,,1985-10-15,21.7
tiago splitter,2007,28.0,,Saski Baskonia (Spain),Other Team/Club,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985-01-01,22.486
alando tucker,2007,29.0,,Wisconsin,College/University,PHX,,,,,,,,,,,,,,,Big Ten,,,,36.0,32.8,19.9,0.47,0.512,0.325,0.659,,,5.4,2.0,,0.9,0.3,1.7,,,,,,,,,,1984-02-11,23.376
petteri koponen,2007,30.0,,Espoon Honka (Finland),Other Team/Club,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carl landry,2007,31.0,PF,Purdue,College/University,SEA,79.0,80.5,248.0,83.0,102.5,7.5,,,31.5,36.5,11.35,,3.29,21.0,Big Ten,,,,34.0,30.4,18.9,0.597,0.618,0.211,0.726,,,7.3,1.2,,1.2,0.9,3.0,,,,,,,,,,1983-09-19,23.773
gabe pruitt,2007,32.0,,Southern California,College/University,BOS,,,,,,,,,,,,,,,Pac-10,,,,26.0,33.1,12.5,0.416,0.496,0.35,0.8,,,2.8,4.3,,1.8,0.3,1.8,,,,,,,,,,1986-04-19,21.191
marcus williams,2007,33.0,,Arizona,College/University,SAS,,,,,,,,,,,,,,,Big East,,,,23.0,33.3,12.3,0.407,0.41,0.4,0.862,,,3.9,8.6,,0.9,0.2,3.7,,,,,,,,,,1986-11-18,20.608
nick fazekas,2007,34.0,,Nevada-Reno,College/University,DAL,,,,,,,,,,,,,,,WAC,,,,32.0,30.3,20.4,0.568,0.591,0.431,0.848,,,11.1,1.8,,0.8,1.5,2.0,,,,,,,,,,1985-06-17,22.029
glen davis,2007,35.0,,Louisiana State,College/University,SEA,,,,,,,,,,,,,,,SEC,,,,29.0,35.0,17.7,0.484,0.505,0.347,0.713,,,10.4,2.3,,1.1,1.0,2.8,,,,,,,,,,1986-01-01,21.487
jermareo davidson,2007,36.0,PF,Alabama,College/University,GSW,81.0,83.0,230.0,88.0,109.5,6.9,,,27.0,30.0,12.63,,3.53,7.0,SEC,,,,30.0,32.3,14.0,0.407,0.414,0.25,0.775,,,8.2,1.5,,0.8,2.3,1.7,,,,,,,,,,1984-11-15,22.615
josh mcroberts,2007,37.0,PF,Duke,College/University,POR,80.0,82.0,240.0,85.0,106.5,13.7,,,27.5,31.5,11.7,,3.47,12.0,ACC,,,,33.0,35.3,13.0,0.502,0.523,0.217,0.664,,,7.9,3.5,,1.2,2.5,2.4,,,,,,,,,,1987-02-28,20.329
kyrylo fesenko,2007,38.0,,Cherkaski Mavpy (Ukraine),Other Team/Club,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986-12-24,20.509
stanko barac,2007,39.0,,HKK Siroki (Bosnia and Herzegovina),Other Team/Club,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sun sun,2007,40.0,SF,Beijing Olympians (China),Other Team/Club,LAL,79.75,80.75,212.0,81.0,105.0,5.1,,,29.0,34.0,10.68,,3.45,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985-11-06,21.64
chris richard,2007,41.0,PF,Florida,College/University,MIN,79.0,80.75,252.0,88.5,110.5,7.5,,,26.5,30.5,11.39,,3.29,15.0,SEC,,,,40.0,18.2,6.2,0.69,0.69,,0.627,,,3.7,0.4,,0.3,0.3,1.2,,,,,,,,,,1984-12-25,22.505
derrick byars,2007,42.0,,Vanderbilt,College/University,POR,,,,,,,,,,,,,,,SEC,,,,34.0,31.4,17.0,0.457,0.531,0.373,0.711,,,4.9,3.4,,1.4,0.1,2.4,,,,,,,,,,1984-04-25,23.173
adam haluska,2007,43.0,,Iowa,College/University,NOH,,,,,,,,,,,,,,,Big Ten,,,,31.0,34.5,20.5,0.408,0.459,0.363,0.87,,,4.6,2.6,,1.4,0.3,1.7,,,,,,,,,,,
reyshawn terry,2007,44.0,SF,North Carolina,College/University,ORL,78.75,79.5,222.0,82.0,103.5,8.9,,,31.0,37.5,11.76,,3.26,18.0,ACC,,,,38.0,21.5,9.7,0.494,0.531,0.437,0.739,,,5.4,1.7,,0.7,0.6,1.8,,,,,,,,,,,
jared jordan,2007,45.0,PG,Marist,College/University,LAC,72.0,73.75,183.0,72.0,94.0,7.0,,,24.5,28.5,11.02,,3.39,6.0,MAAC,,,,33.0,37.9,17.2,0.425,0.511,0.298,0.69,,,5.9,8.7,,1.4,0.1,3.3,,,,,,,,,,,
stephane lasme,2007,46.0,PF,Massachusetts,College/University,GSW,77.0,79.0,213.0,86.0,107.0,4.9,,,29.5,36.0,11.73,,3.22,17.0,A-10,,,,33.0,30.6,13.5,0.611,0.611,,0.622,,,9.5,0.8,,0.9,5.1,2.4,,,,,,,,,,1982-12-17,24.528
dominic mcguire,2007,47.0,SF,Fresno State,College/University,WAS,79.0,80.25,220.0,82.5,104.0,4.7,,,28.5,34.5,10.95,,3.25,12.0,WAC,,,,32.0,32.9,13.5,0.471,0.516,0.299,0.586,,,9.8,3.3,,0.9,3.6,3.7,,,,,,,,,,1985-10-20,21.687
marc gasol,2007,48.0,,CB Sant Josep (Spain),Other Team/Club,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985-01-29,22.409
aaron gray,2007,49.0,C,Pittsburgh,College/University,CHI,84.0,85.75,271.0,87.25,108.5,10.8,,,27.0,32.5,12.07,,3.7,17.0,Big East,,,,36.0,28.2,13.9,0.565,0.565,,0.548,,,9.5,1.7,,0.4,1.7,1.5,,,,,,,,,,1984-12-07,22.554
renaldas seibutis,2007,50.0,SG,Maroussi B.C. (Greece),Other Team/Club,DAL,76.0,77.75,185.0,80.75,101.0,6.1,,,24.0,32.5,11.33,,3.39,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jameson curry,2007,51.0,,Oklahoma State,College/University,CHI,,,,,,,,,,,,,,,Big 12,,,,35.0,37.0,17.3,0.452,0.489,0.411,0.793,,,3.2,3.7,,1.2,0.3,3.1,,,,,,,,,,1986-01-07,21.47
taurean green,2007,52.0,PG,Florida,College/University,POR,71.0,72.75,173.0,74.25,96.0,4.6,,,29.0,32.5,11.3,,3.26,8.0,SEC,,,,40.0,33.2,13.3,0.444,0.497,0.406,0.849,,,2.4,3.7,,1.1,0.0,2.7,,,,,,,,,,1986-11-28,20.58
demetris nichols,2007,53.0,SF,Syracuse,College/University,POR,78.0,79.5,211.0,84.25,105.0,6.2,,,28.5,32.5,10.39,,3.38,16.0,Big East,,,,35.0,34.8,18.9,0.447,0.475,0.417,0.85,,,5.4,1.5,,1.4,1.1,2.2,,,,,,,,,,1984-09-04,22.812
brad newley,2007,54.0,SG,Townsville Crocodiles (Australia),Other Team/Club,HOU,77.0,78.5,201.0,80.0,102.5,8.0,,,29.5,31.5,11.77,,3.29,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985-02-18,22.355
herbert hill,2007,55.0,C,Providence,College/University,UTA,79.0,81.75,232.0,86.25,108.5,5.6,,,30.5,34.0,12.31,,3.39,15.0,Big East,,,,31.0,31.9,18.1,0.64,0.642,0.0,0.602,,,8.8,1.5,,1.0,2.9,2.9,,,,,,,,,,1984-10-01,22.738
ramon sessions,2007,56.0,PG,Nevada-Reno,College/University,MIL,74.0,75.75,185.0,76.25,97.5,6.2,,,29.5,33.5,11.65,,3.27,8.0,WAC,,,,34.0,30.2,12.3,0.452,0.465,0.38,0.825,,,4.7,4.7,,0.9,0.2,2.5,,,,,,,,,,1986-04-11,21.213
sammy mejia,2007,57.0,SG,DePaul,College/University,DET,77.0,79.0,218.0,83.0,105.0,8.3,,,27.0,31.5,11.87,,3.49,7.0,Big East,,,,34.0,33.5,14.1,0.481,0.537,0.353,0.602,,,5.9,2.6,,1.0,0.1,1.9,,,,,,,,,,,
giorgos printezis,2007,58.0,,Olympiacos B.C. (Greece),Other Team/Club,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dj strawberry,2007,59.0,SG,Maryland,College/University,PHX,75.75,77.0,199.0,78.5,101.0,4.5,,,28.5,35.0,10.87,,3.14,21.0,ACC,,,,34.0,31.9,14.9,0.477,0.525,0.343,0.685,,,4.4,3.5,,2.0,0.4,2.2,,,,,,,,,,1985-06-15,22.034
milovan rakovic,2007,60.0,,KK Mega Leks (Serbia),Other Team/Club,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ali traore,2007,999.0,C-PF,,,,80.75,81.75,249.0,88.0,108.5,12.1,,,25.0,29.0,12.16,,3.52,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antanas kavaliauskas,2007,999.0,PF,Texas A&M,College/University,,81.0,82.5,237.0,82.5,106.5,7.7,,,25.5,30.0,11.19,,3.42,19.0,Big 12,,,,34.0,28.4,11.9,0.554,0.564,0.375,0.649,,,6.3,1.6,,0.6,0.7,1.7,,,,,,,,,,,
anthony tolliver,2007,999.0,PF,Creighton,College/University,,79.0,80.5,242.0,86.5,107.5,5.7,,,28.5,30.0,11.49,,3.29,21.0,MVC,,,,33.0,31.6,13.4,0.506,0.526,0.211,0.658,,,6.7,1.9,,0.7,1.7,2.0,,,,,,,,,,1985-06-01,22.073
avis wyatt,2007,999.0,PF,,,,80.75,81.5,212.0,85.0,107.0,3.3,,,27.5,32.0,11.46,,3.23,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blake schilb,2007,999.0,SG,Loyola (IL),College/University,,77.0,79.0,214.0,81.0,102.5,10.0,,,26.5,33.5,11.63,,3.36,11.0,Horizon,,,,31.0,33.4,17.0,0.452,0.51,0.356,0.854,,,5.2,4.0,,1.3,0.6,3.3,,,,,,,,,,,
bobby brown,2007,999.0,PG,Cal St Fullerton,College/University,,71.0,73.75,170.0,76.0,95.5,6.6,,,32.5,41.0,11.27,,3.25,3.0,Big West,,,,27.0,34.6,20.2,0.468,0.551,0.388,0.789,,,2.7,5.1,,1.3,0.1,3.6,,,,,,,,,,1984-09-24,22.757
brandon heath,2007,999.0,PG,San Diego St.,College/University,,74.0,75.75,181.0,79.0,94.0,9.0,,,32.0,36.0,11.39,,3.28,11.0,MWC,,,,33.0,36.9,19.3,0.421,0.481,0.352,0.746,,,3.8,3.6,,1.9,0.1,3.2,,,,,,,,,,,
caleb green,2007,999.0,PF,Oral Roberts,College/University,,78.0,80.0,238.0,83.75,103.0,10.9,,,28.5,36.0,11.72,,3.46,9.0,Mid-Cont,,,,34.0,34.8,20.5,0.501,0.508,0.353,0.76,,,9.3,2.6,,1.4,0.4,4.0,,,,,,,,,,,
cartier martin,2007,999.0,SF,Kansas St.,College/University,,76.0,78.5,218.0,82.0,103.5,5.6,,,27.0,29.5,12.1,,3.43,11.0,Big 12,,,,35.0,27.5,17.1,0.46,0.527,0.386,0.799,,,4.4,1.3,,0.7,0.2,1.7,,,,,,,,,,1984-11-20,22.601
coby karl,2007,999.0,SG-PG,Boise St.,College/University,,75.0,76.75,204.0,83.0,99.5,5.4,,,32.0,34.5,11.57,,3.41,9.0,WAC,,,,31.0,32.5,14.8,0.408,0.486,0.37,0.835,,,4.1,4.0,,0.8,0.6,3.1,,,,,,,,,,1983-06-08,24.055
coleman collins,2007,999.0,PF,Virginia Tech,College/University,,80.0,81.75,236.0,86.0,107.0,6.2,,,30.0,35.0,11.47,,,21.0,ACC,,,,33.0,24.3,7.8,0.503,0.503,,0.651,,,4.8,0.8,,0.5,1.1,1.3,,,,,,,,,,,
craig bradshaw,2007,999.0,PF,Winthrop,College/University,,80.0,81.75,240.0,85.5,106.5,12.1,,,26.0,28.0,11.88,,3.54,12.0,Big South,,,,32.0,28.3,13.5,0.488,0.561,0.327,0.606,,,6.3,1.5,,0.6,1.2,2.3,,,,,,,,,,,
curtis sumpter,2007,999.0,SF,Villanova,College/University,,78.0,79.75,227.0,81.5,104.0,5.3,,,27.5,32.5,11.3,,3.22,12.0,Big East,,,,32.0,30.5,17.4,0.447,0.491,0.366,0.805,,,7.2,0.9,,0.9,0.9,2.2,,,,,,,,,,,
darryl watkins,2007,999.0,C,Syracuse,College/University,,80.75,82.25,241.0,87.0,110.0,6.9,,,26.5,31.0,11.65,,3.56,14.0,Big East,,,,33.0,29.1,8.1,0.544,0.544,,0.612,,,7.5,0.8,,1.2,3.4,1.5,,,,,,,,,,1984-11-08,22.634
dashaun wood,2007,999.0,PG,Wright St.,College/University,,70.75,71.5,167.0,72.75,92.0,5.4,,,31.5,34.5,11.4,,3.23,13.0,Horizon,,,,33.0,36.2,19.6,0.435,0.462,0.373,0.883,,,5.1,4.0,,1.9,0.2,2.5,,,,,,,,,,,
dominic james,2007,999.0,PG,Marquette,College/University,,70.0,71.75,175.0,74.0,93.0,4.8,,,33.5,38.5,10.94,,3.11,14.0,Big East,,,,34.0,33.2,14.9,0.384,0.464,0.272,0.651,,,3.1,4.9,,1.9,0.1,2.6,,,,,,,,,,,
dustin salisbery,2007,999.0,SG,Temple,College/University,,75.0,76.75,208.0,80.0,100.5,6.6,,,34.0,38.0,11.07,,3.12,11.0,A-10,,,,30.0,33.1,16.4,0.425,0.471,0.354,0.678,,,5.0,2.4,,1.6,0.4,2.9,,,,,,,,,,,
ekene ibekwe,2007,999.0,PF,Maryland,College/University,,80.0,81.0,208.0,90.0,104.0,3.2,,,34.5,39.0,11.0,,3.28,10.0,ACC,,,,33.0,25.2,10.4,0.494,0.496,0.0,0.636,,,7.8,0.8,,1.0,2.7,2.6,,,,,,,,,,,
ivan radenovic,2007,999.0,PF,Arizona,College/University,,81.0,82.75,226.0,83.75,106.0,9.8,,,23.0,28.0,11.61,,3.6,7.0,Pac-10,,,,31.0,34.3,15.1,0.507,0.535,0.373,0.872,,,7.6,2.1,,0.9,0.6,2.1,,,,,,,,,,,
jamaal tatum,2007,999.0,PG,Southern Ill.,College/University,,71.5,72.75,168.0,74.5,93.5,5.0,,,28.5,33.0,11.51,,3.22,7.0,MVC,,,,35.0,32.8,15.2,0.435,0.457,0.408,0.779,,,3.0,2.4,,1.2,0.0,2.4,,,,,,,,,,,
james hughes,2007,999.0,C,Northern Ill.,College/University,,81.0,82.75,209.0,87.0,111.0,3.5,,,31.0,33.0,13.31,,3.37,8.0,MAC,,,,30.0,26.8,12.1,0.589,0.589,,0.758,,,6.1,0.3,,0.4,2.1,1.5,,,,,,,,,,,
jeremy hunt,2007,999.0,SG,Memphis,College/University,,74.0,76.75,198.0,80.25,101.5,5.2,,,30.5,33.0,12.11,,3.29,10.0,CUSA,,,,37.0,23.9,14.1,0.417,0.471,0.382,0.717,,,2.9,1.4,,1.4,0.4,1.4,,,,,,,,,,,
justin doellman,2007,999.0,PF,Xavier,College/University,,80.0,81.5,205.0,80.75,105.0,7.0,,,,,,,,19.0,A-10,,,,34.0,27.0,13.7,0.495,0.567,0.362,0.792,,,5.5,1.7,,0.9,1.1,1.6,,,,,,,,,,,
kyle visser,2007,999.0,C,Wake Forest,College/University,,82.0,83.5,242.0,83.0,108.0,10.2,,,26.0,29.0,12.6,,3.39,18.0,ACC,,,,31.0,29.0,17.0,0.584,0.588,0.0,0.644,,,7.4,0.6,,0.7,1.4,2.0,,,,,,,,,,,
major wingate,2007,999.0,C,,,,80.5,82.75,242.0,88.0,109.0,6.7,,,27.5,30.5,12.14,,3.47,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mario boggan,2007,999.0,PF,Oklahoma St.,College/University,,77.0,79.0,240.0,86.0,107.0,9.2,,,24.0,26.5,12.18,,3.45,12.0,Big 12,,,,34.0,32.6,19.0,0.54,0.589,0.22,0.761,,,7.6,1.4,,1.1,0.8,2.5,,,,,,,,,,,
marko lekic,2007,999.0,C,,,,81.0,82.5,267.0,85.0,108.5,11.4,,,24.0,30.5,11.96,,3.43,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mohamed abukar,2007,999.0,SF,San Diego St.,College/University,,80.0,81.75,210.0,81.0,103.0,8.9,,,30.5,35.0,11.78,,3.37,15.0,MWC,,,,32.0,33.2,15.8,0.472,0.505,0.302,0.829,,,5.8,1.6,,0.5,0.6,2.2,,,,,,,,,,,
mustafa shakur,2007,999.0,PG,Arizona,College/University,,75.0,76.5,185.0,77.5,99.0,4.1,,,28.5,35.0,11.82,,3.27,11.0,Pac-10,,,,31.0,34.8,11.9,0.455,0.514,0.325,0.788,,,4.0,6.9,,1.5,0.2,3.7,,,,,,,,,,1984-08-18,22.858
quinton hosley,2007,999.0,SF-SG,Fresno St.,College/University,,77.0,79.75,215.0,83.25,105.0,5.7,,,28.5,34.0,12.47,,3.32,12.0,WAC,,,,32.0,33.3,13.9,0.418,0.47,0.322,0.672,,,8.9,1.5,,1.3,0.6,2.7,,,,,,,,,,,
rashad jones jennings,2007,999.0,PF,Little Rock,College/University,,78.0,79.5,235.0,84.0,105.5,5.9,,,25.0,30.0,12.18,,3.29,20.0,Sun Belt,,,,30.0,32.4,12.5,0.502,0.508,0.0,0.577,,,13.1,1.4,,0.8,1.0,1.7,,,,,,,,,,,
rashaun freeman,2007,999.0,PF,Massachusetts,College/University,,78.0,80.0,244.0,83.5,104.0,11.5,,,28.0,32.0,11.43,,3.41,20.0,A-10,,,,33.0,27.2,14.7,0.609,0.613,0.0,0.574,,,8.3,0.8,,0.6,0.4,2.2,,,,,,,,,,,
reynolds,2007,999.0,PG,,,,72.0,74.75,188.0,75.25,95.0,8.2,,,27.5,34.5,11.69,,3.24,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ron lewis,2007,999.0,SG,Ohio St.,College/University,,74.0,76.5,194.0,78.5,99.0,4.5,,,33.0,38.0,11.59,,3.22,16.0,Big Ten,,,,39.0,28.8,12.7,0.427,0.518,0.344,0.778,,,3.6,1.3,,0.9,0.3,1.6,,,,,,,,,,,
russell carter,2007,999.0,SG,Notre Dame,College/University,,75.0,76.5,221.0,80.5,97.5,6.0,,,33.0,38.5,11.61,,3.29,25.0,Big East,,,,32.0,30.4,17.1,0.431,0.465,0.394,0.714,,,4.9,1.8,,1.6,0.3,2.2,,,,,,,,,,,
ryvon covile,2007,999.0,C-PF,Detroit Mercy,College/University,,79.0,80.5,250.0,85.25,107.5,8.0,,,25.0,30.5,12.52,,3.37,19.0,Horizon,,,,30.0,33.0,13.7,0.564,0.564,,0.623,,,10.6,0.9,,0.8,1.4,1.8,,,,,,,,,,,
trey johnson,2007,999.0,SG,Jackson St.,College/University,,75.0,77.75,216.0,77.0,98.0,5.4,,,26.5,35.0,11.78,,3.31,18.0,SWAC,,,,35.0,37.8,27.1,0.414,0.45,0.333,0.743,,,4.5,2.6,,0.9,0.1,3.6,,,,,,,,,,1984-08-30,22.825
zabian dowdell,2007,999.0,PG,Virginia Tech,College/University,,73.0,75.0,191.0,82.0,100.0,5.1,,,30.0,33.5,11.13,,3.29,3.0,ACC,,,,34.0,33.8,17.4,0.462,0.49,0.386,0.806,,,3.6,3.1,,2.1,0.2,2.0,,,,,,,,,,1984-09-10,22.795
derrick rose,2008,1.0,PG,Memphis,College/University,CHI,73.5,74.5,196.0,80.0,98.5,4.6,,,34.5,40.0,11.69,,3.05,10.0,CUSA,,Fr,6-3,40.0,29.2,14.925,0.477064220183486,0.521,0.3369999999999999,0.712,1.35,3.175,4.525,4.725,1.7663551400000002,1.2,0.375,2.67500000028307,112.2,126.299,90.0943,4.18308,4.099260000000001,9.54209,6.184509999999999,3.35758,26.8,1988-10-04,19.726
michael beasley,2008,2.0,PF-SF,Kansas State,College/University,MIA,79.0,80.25,239.0,84.25,107.0,7.7,,,30.0,35.0,11.06,,3.24,19.0,B12,,Fr,6-9,32.0,31.5152,26.2424,0.5286738351254481,0.558,0.38,0.776,3.9697,8.3939,12.363600000000002,1.1515,0.39999306,1.2727,1.6364,2.87879994717908,119.8,147.9,87.18209999999999,6.86874,4.77479,14.9392,12.041199999999998,2.89796,33.3,1989-01-09,19.461
o j mayo,2008,3.0,SG-PG,Southern California,College/University,MIN,75.25,76.25,200.0,78.0,99.5,6.3,,,30.5,41.0,11.04,,3.14,7.0,P10,,Fr,6-4,33.0,36.8485,20.7273,0.4421641791044781,0.464,0.409,0.803,1.0606,3.4848,4.5455,3.303,0.93160342,1.5455,0.3939,3.5455000798515703,106.1,126.497,96.1415,5.27707,4.63814,8.32398,6.232340000000001,2.0916399999999995,30.5,1987-11-05,20.641
russell westbrook,2008,4.0,PG,California-Los Angeles,College/University,OKC,74.25,75.5,192.0,79.75,100.0,4.8,,,30.0,36.5,10.98,,3.08,12.0,P10,,So,6-3,38.0,33.794900000000005,12.7436,0.462140992167102,0.497,0.32,0.709,1.5641,2.3589999999999995,3.9231,4.2821,1.7396304399999998,1.6154,0.1795,2.46149981141972,109.0,117.773,92.6743,3.87651,4.67871,6.596260000000001,3.13181,3.46444,22.5,1988-11-12,19.619
