person_id,birth_date,birth_date_source,raw_display_first_last
2222,1982-07-23,nba_api_commonplayerinfo,Gerald Wallace
2223,1980-05-10,nba_api_commonplayerinfo,Samuel Dalembert
2224,1978-02-28,nba_api_commonplayerinfo,Jamaal Tinsley
2225,1982-05-17,nba_api_commonplayerinfo,Tony Parker
2226,1978-07-20,nba_api_commonplayerinfo,Will Solomon
2228,1981-05-29,nba_api_commonplayerinfo,Alton Ford
2230,1978-11-08,nba_api_commonplayerinfo,Maurice Evans
2238,1981-04-01,nba_api_commonplayerinfo,Antonis Fotsis
2239,1979-03-04,nba_api_commonplayerinfo,Trenton Hassell
2240,1982-01-06,nba_api_commonplayerinfo,Gilbert Arenas
2241,1982-01-28,nba_api_commonplayerinfo,Omar Cook
2242,1979-01-11,nba_api_commonplayerinfo,Terence Morris
2243,1978-03-18,nba_api_commonplayerinfo,Brian Scalabrine
2244,1979-07-11,nba_api_commonplayerinfo,Jeff Trepagnier
2245,1979-06-28,nba_api_commonplayerinfo,Damone Brown
2246,1979-05-26,nba_api_commonplayerinfo,Mehmet Okur
2247,,common_player_info_error:KeyError,
2248,1979-06-12,nba_api_commonplayerinfo,Earl Watson
2249,1980-11-19,nba_api_commonplayerinfo,Jamison Brewer
2250,1980-06-02,nba_api_commonplayerinfo,Bobby Simmons
2251,,common_player_info_error:KeyError,
2252,,common_player_info_error:KeyError,
2253,1979-09-03,nba_api_commonplayerinfo,Sean Lampley
2254,1978-06-21,nba_api_commonplayerinfo,Loren Woods
2255,,common_player_info_error:KeyError,
2256,1978-02-01,nba_api_commonplayerinfo,Ken Johnson
2257,1978-05-20,nba_api_commonplayerinfo,Ruben Boumtje-Boumtje
2259,1979-01-12,nba_api_commonplayerinfo,Andre Hutson
2260,1978-12-02,nba_api_commonplayerinfo,Jarron Collins
2261,1981-04-10,nba_api_commonplayerinfo,Kenny Satterfield
2262,,common_player_info_error:KeyError,
2263,,common_player_info_error:KeyError,
2264,1978-09-09,nba_api_commonplayerinfo,Alvin Jones
2265,,common_player_info_error:KeyError,
2294,1979-03-12,nba_api_commonplayerinfo,Charlie Bell
2369,1977-07-24,nba_api_commonplayerinfo,Norman Richardson
2386,,common_player_info_error:KeyError,
2397,1980-09-12,nba_api_commonplayerinfo,Yao Ming
2398,1981-09-10,nba_api_commonplayerinfo,Jay Williams
2399,1980-09-15,nba_api_commonplayerinfo,Mike Dunleavy
2400,1981-09-24,nba_api_commonplayerinfo,Drew Gooden
2401,1983-04-14,nba_api_commonplayerinfo,Nikoloz Tskitishvili
2402,1983-02-04,nba_api_commonplayerinfo,Dajuan Wagner
2403,1982-09-13,nba_api_commonplayerinfo,Nene
2404,1982-09-03,nba_api_commonplayerinfo,Chris Wilcox
2405,1982-11-16,nba_api_commonplayerinfo,Amar'e Stoudemire
2406,1980-03-13,nba_api_commonplayerinfo,Caron Butler
2407,1981-11-25,nba_api_commonplayerinfo,Jared Jeffries
2408,1978-05-02,nba_api_commonplayerinfo,Melvin Ely
2409,1980-12-22,nba_api_commonplayerinfo,Marcus Haislip
2410,1979-03-11,nba_api_commonplayerinfo,Fred Jones
2411,1980-07-03,nba_api_commonplayerinfo,Bostjan Nachbar
2412,1980-01-27,nba_api_commonplayerinfo,Jiri Welsch
2413,1978-10-09,nba_api_commonplayerinfo,Juan Dixon
2414,1980-09-13,nba_api_commonplayerinfo,Curtis Borchardt
2415,1979-07-24,nba_api_commonplayerinfo,Ryan Humphrey
2416,1980-10-30,nba_api_commonplayerinfo,Kareem Rush
2417,1981-02-16,nba_api_commonplayerinfo,Qyntel Woods
2418,1981-03-19,nba_api_commonplayerinfo,Casey Jacobsen
2419,1980-02-28,nba_api_commonplayerinfo,Tayshaun Prince
2420,1983-07-25,nba_api_commonplayerinfo,Nenad Krstic
2421,1980-02-25,nba_api_commonplayerinfo,Frank Williams
2422,1979-12-12,nba_api_commonplayerinfo,John Salmons
2423,1980-02-13,nba_api_commonplayerinfo,Chris Jefferies
2424,1978-09-16,nba_api_commonplayerinfo,Dan Dickau
2425,1980-03-29,nba_api_commonplayerinfo,Robert Archibald
2426,,common_player_info_error:KeyError,
2427,1980-09-10,nba_api_commonplayerinfo,Roger Mason Jr.
2428,1981-03-21,nba_api_commonplayerinfo,Vincent Yarbrough
2429,1978-02-02,nba_api_commonplayerinfo,Dan Gadzuric
2430,1981-11-20,nba_api_commonplayerinfo,Carlos Boozer
2431,1980-06-23,nba_api_commonplayerinfo,David Andersen
2432,1981-06-08,nba_api_commonplayerinfo,Tito Maddox
2433,,common_player_info_error:KeyError,
2434,1980-06-13,nba_api_commonplayerinfo,Juan Carlos Navarro
2435,1980-04-05,nba_api_commonplayerinfo,Mario Kasun
2436,1979-07-29,nba_api_commonplayerinfo,Flip Murray
2437,1979-01-27,nba_api_commonplayerinfo,Lonny Baxter
2438,,common_player_info_error:KeyError,
2439,,common_player_info_error:KeyError,
2440,1980-03-09,nba_api_commonplayerinfo,Matt Barnes
2441,1983-05-15,nba_api_commonplayerinfo,Jamal Sampson
2442,1979-03-01,nba_api_commonplayerinfo,Chris Owens
2443,1978-02-14,nba_api_commonplayerinfo,Darius Songaila
2444,,common_player_info_error:KeyError,
2445,,common_player_info_error:KeyError,
2446,1979-05-23,nba_api_commonplayerinfo,Rasual Butler
2447,1980-04-02,nba_api_commonplayerinfo,Tamar Slay
2448,,common_player_info_error:KeyError,
2449,1980-04-30,nba_api_commonplayerinfo,Luis Scola
2450,1979-08-08,nba_api_commonplayerinfo,Randy Holcomb
2451,1979-03-05,nba_api_commonplayerinfo,Corsley Edwards
2452,1980-09-19,nba_api_commonplayerinfo,J.R. Bremer
2453,1976-05-21,nba_api_commonplayerinfo,Predrag Savovic
2457,1979-10-22,nba_api_commonplayerinfo,Jannero Pargo
2458,,common_player_info_error:KeyError,
2465,,common_player_info_error:KeyError,
2470,1981-06-01,nba_api_commonplayerinfo,Smush Parker
2486,1979-07-28,nba_api_commonplayerinfo,Maurice Baker
2495,,common_player_info_error:KeyError,
2501,1980-05-18,nba_api_commonplayerinfo,Reggie Evans
2508,,common_player_info_error:KeyError,
2525,1980-11-13,nba_api_commonplayerinfo,Milos Vujanic
2526,,common_player_info_error:KeyError,
2544,1984-12-30,nba_api_commonplayerinfo,LeBron James
2545,1985-06-20,nba_api_commonplayerinfo,Darko Milicic
2546,1984-05-29,nba_api_commonplayerinfo,Carmelo Anthony
2547,1984-03-24,nba_api_commonplayerinfo,Chris Bosh
2548,1982-01-17,nba_api_commonplayerinfo,Dwyane Wade
2549,1982-04-28,nba_api_commonplayerinfo,Chris Kaman
2550,1981-01-02,nba_api_commonplayerinfo,Kirk Hinrich
2551,1983-03-24,nba_api_commonplayerinfo,T.J. Ford
2552,1982-10-25,nba_api_commonplayerinfo,Michael Sweetney
2553,1981-08-09,nba_api_commonplayerinfo,Jarvis Hayes
2554,1982-02-07,nba_api_commonplayerinfo,Mickael Pietrus
2555,1980-10-26,nba_api_commonplayerinfo,Nick Collison
2556,1981-11-19,nba_api_commonplayerinfo,Marcus Banks
2557,1981-02-13,nba_api_commonplayerinfo,Luke Ridnour
2558,1981-01-07,nba_api_commonplayerinfo,Reece Gaines
2559,1980-11-10,nba_api_commonplayerinfo,Troy Bell
2560,1981-05-21,nba_api_commonplayerinfo,Zarko Cabarkapa
2561,1980-08-29,nba_api_commonplayerinfo,David West
2562,1983-11-15,nba_api_commonplayerinfo,Sasha Pavlovic
2563,1980-12-27,nba_api_commonplayerinfo,Dahntay Jones
2564,1982-04-16,nba_api_commonplayerinfo,Boris Diaw
2565,1982-09-12,nba_api_commonplayerinfo,Zoran Planinic
2566,1984-09-18,nba_api_commonplayerinfo,Travis Outlaw
2567,1980-12-04,nba_api_commonplayerinfo,Brian Cook
2568,1982-08-29,nba_api_commonplayerinfo,Carlos Delfino
2569,1984-06-18,nba_api_commonplayerinfo,Ndudi Ebi
2570,1984-11-10,nba_api_commonplayerinfo,Kendrick Perkins
2571,1982-11-28,nba_api_commonplayerinfo,Leandro Barbosa
2572,1980-04-28,nba_api_commonplayerinfo,Josh Howard
2573,1985-02-05,nba_api_commonplayerinfo,Maciej Lampe
2574,1981-02-02,nba_api_commonplayerinfo,Jason Kapono
2575,1980-03-28,nba_api_commonplayerinfo,Luke Walton
2577,,common_player_info_error:KeyError,
2578,,common_player_info_error:KeyError,
2579,,common_player_info_error:KeyError,
2580,1978-04-15,nba_api_commonplayerinfo,Travis Hansen
2581,1980-02-26,nba_api_commonplayerinfo,Steve Blake
2582,1983-01-30,nba_api_commonplayerinfo,Slavko Vranes
2583,1981-12-02,nba_api_commonplayerinfo,Derrick Zimmerman
2584,1981-07-28,nba_api_commonplayerinfo,Willie Green
2585,1984-02-10,nba_api_commonplayerinfo,Zaza Pachulia
2586,1980-05-12,nba_api_commonplayerinfo,Keith Bogans
2587,,common_player_info_error:KeyError,
2588,1980-04-05,nba_api_commonplayerinfo,Matt Bonner
2589,1981-05-19,nba_api_commonplayerinfo,Sani Becirovic
2590,1982-12-19,nba_api_commonplayerinfo,Mo Williams
2591,1983-10-17,nba_api_commonplayerinfo,James Lang
2592,1980-10-04,nba_api_commonplayerinfo,James Jones
2593,,common_player_info_error:KeyError,
2594,1981-03-17,nba_api_commonplayerinfo,Kyle Korver
2595,,common_player_info_error:KeyError,
2596,,common_player_info_error:KeyError,
2597,,common_player_info_error:KeyError,
2598,,common_player_info_error:KeyError,
2599,1980-11-24,nba_api_commonplayerinfo,Brandon Hunter
2600,,common_player_info_error:KeyError,
2601,1981-08-26,nba_api_commonplayerinfo,Andreas Glyniadakis
2602,1980-05-17,nba_api_commonplayerinfo,Jerome Beasley
2604,1980-10-03,nba_api_commonplayerinfo,Theron Smith
2605,1981-01-07,nba_api_commonplayerinfo,Marquis Daniels
2606,,common_player_info_error:KeyError,
2617,1980-06-09,nba_api_commonplayerinfo,Udonis Haslem
2618,,common_player_info_error:KeyError,
2632,1980-11-23,nba_api_commonplayerinfo,Kirk Penney
2637,1978-07-03,nba_api_commonplayerinfo,Alex Scales
2639,1979-07-08,nba_api_commonplayerinfo,Britton Johnsen
2648,1981-01-26,nba_api_commonplayerinfo,Ronald Dupree
2651,,common_player_info_error:KeyError,
2658,,common_player_info_error:KeyError,
2677,,common_player_info_error:KeyError,
2679,1980-08-28,nba_api_commonplayerinfo,Matt Carroll
2688,1981-12-16,nba_api_commonplayerinfo,Brandin Knight
2694,1983-01-25,nba_api_commonplayerinfo,Josh Powell
2696,1979-10-23,nba_api_commonplayerinfo,Lynn Greer
2730,1985-12-08,nba_api_commonplayerinfo,Dwight Howard
2731,1982-09-28,nba_api_commonplayerinfo,Emeka Okafor
2732,1983-04-04,nba_api_commonplayerinfo,Ben Gordon
2733,1985-09-11,nba_api_commonplayerinfo,Shaun Livingston
2734,1983-02-27,nba_api_commonplayerinfo,Devin Harris
2735,1983-06-20,nba_api_commonplayerinfo,Josh Childress
2736,1985-04-16,nba_api_commonplayerinfo,Luol Deng
2737,1980-08-12,nba_api_commonplayerinfo,Rafael Araujo
2738,1984-01-28,nba_api_commonplayerinfo,Andre Iguodala
2739,1981-11-06,nba_api_commonplayerinfo,Luke Jackson
2740,1986-04-02,nba_api_commonplayerinfo,Andris Biedrins
2741,1985-12-03,nba_api_commonplayerinfo,Robert Swift
2742,1985-06-09,nba_api_commonplayerinfo,Sebastian Telfair
2743,1985-02-06,nba_api_commonplayerinfo,Kris Humphries
2744,1985-01-04,nba_api_commonplayerinfo,Al Jefferson
2745,1983-06-05,nba_api_commonplayerinfo,Kirk Snyder
2746,1985-12-05,nba_api_commonplayerinfo,Josh Smith
2747,1985-09-09,nba_api_commonplayerinfo,JR Smith
2748,1985-12-02,nba_api_commonplayerinfo,Dorell Wright
2749,1982-02-09,nba_api_commonplayerinfo,Jameer Nelson
2750,1985-01-15,nba_api_commonplayerinfo,Pavel Podkolzin
2751,1982-08-03,nba_api_commonplayerinfo,Viktor Khryapa
2752,1983-04-15,nba_api_commonplayerinfo,Sergei Monia
2753,1983-07-26,nba_api_commonplayerinfo,Delonte West
2754,1982-01-11,nba_api_commonplayerinfo,Tony Allen
2755,1983-02-01,nba_api_commonplayerinfo,Kevin Martin
2756,1984-03-08,nba_api_commonplayerinfo,Sasha Vujacic
2757,1982-07-05,nba_api_commonplayerinfo,Beno Udrih
2758,1982-08-15,nba_api_commonplayerinfo,David Harrison
2760,1982-09-28,nba_api_commonplayerinfo,Anderson Varejao
2761,1981-06-06,nba_api_commonplayerinfo,Jackson Vroman
2762,1985-05-23,nba_api_commonplayerinfo,Peter John Ramos
2763,1980-11-10,nba_api_commonplayerinfo,Lionel Chalmers
2764,1983-11-27,nba_api_commonplayerinfo,Donta Smith
2765,1982-08-27,nba_api_commonplayerinfo,Andre Emmett
2766,1980-02-25,nba_api_commonplayerinfo,Antonio Burks
2767,1981-12-20,nba_api_commonplayerinfo,Royal Ivey
2768,1982-08-31,nba_api_commonplayerinfo,Chris Duhon
2769,,common_player_info_error:KeyError,
2770,1982-01-16,nba_api_commonplayerinfo,Justin Reed
2771,,common_player_info_error:KeyError,
2772,1985-06-30,nba_api_commonplayerinfo,Trevor Ariza
2773,,common_player_info_error:KeyError,
2774,1980-12-26,nba_api_commonplayerinfo,Bernard Robinson
2775,1985-08-04,nba_api_commonplayerinfo,Ha Ha
2776,1981-11-22,nba_api_commonplayerinfo,Pape Sow
2777,,common_player_info_error:KeyError,
2778,,common_player_info_error:KeyError,
2779,1982-08-02,nba_api_commonplayerinfo,Vassilis Spanoulis
