name,draft_year,overall_pick,position,organization,organization_type,draft_team_abbreviation,height_wo_shoes_in,height_w_shoes_in,weight_lbs,wingspan_in,standing_reach_in,body_fat_pct,hand_length_in,hand_width_in,standing_vertical_leap_in,max_vertical_leap_in,lane_agility_time_sec,modified_lane_agility_time_sec,three_quarter_sprint_sec,bench_press_reps
eduardo najera,2000,38,PF-SF,Oklahoma,College/University,HOU,78.5,,234.5,83.5,104.5,,,,28.0,35.0,11.38,,3.45,15.0
lavor postell,2000,39,SG,St. John's (NY),College/University,NYK,76.5,,205.0,80.5,101.5,,,,33.5,36.5,11.79,,3.3,17.0
hanno mottola,2000,40,,Utah,College/University,ATL,,,,,,,,,,,,,,
chris carrawell,2000,41,,Duke,College/University,SAS,,,,,,,,,,,,,,
olumide oyedeji,2000,42,,DJK Wurzburg (Germany),Other Team/Club,SEA,,,,,,,,,,,,,,
michael redd,2000,43,SG-SF,Ohio State,College/University,MIL,76.75,,214.0,81.0,102.0,,,,27.0,31.0,12.06,,3.34,12.0
brian cardinal,2000,44,,Purdue,College/University,DET,,,,,,,,,,,,,,
jabari smith,2000,45,PF-C,Louisiana State,College/University,SAC,81.75,,240.5,86.5,109.5,,,,24.5,30.0,12.45,,3.43,15.0
deeandre hulett,2000,46,,Las Vegas Silver Bandits (IBL),Other Team/Club,TOR,,,,,,,,,,,,,,
josip sesar,2000,47,,KK Cibona (Croatia),Other Team/Club,SEA,,,,,,,,,,,,,,
mark karcher,2000,48,SG,Temple,College/University,PHI,76.0,,218.0,80.0,102.5,,,,27.5,30.5,11.51,,3.4,12.0
jason hart,2000,49,PG,Syracuse,College/University,MIL,73.75,,181.0,78.0,97.5,,,,29.5,33.5,11.7,,3.34,9.0
kaniel dickens,2000,50,,Idaho,College/University,UTA,,,,,,,,,,,,,,
igor rakocevic,2000,51,PG,Red Star Belgrade (Serbia),Other Team/Club,MIN,74.5,,184.0,77.25,100.0,,,,27.5,34.0,10.4,,3.1,9.0
ernest brown,2000,52,C,Indian Hills Community College,College/University,MIA,82.0,,222.5,85.25,109.5,,,,,,,,,2.0
dan mcclintock,2000,53,C-PF,Northern Arizona,College/University,DEN,83.0,,250.0,85.5,107.0,,,,33.0,35.0,11.52,,3.33,20.0
cory hightower,2000,54,SG-SF,Indian Hills Community College,College/University,SAS,77.5,,183.0,83.0,101.5,,,,29.5,34.5,11.92,,3.37,0.0
chris porter,2000,55,SF-PF,Auburn,College/University,GSW,77.5,,214.0,81.5,103.5,,,,28.5,35.0,10.93,,3.2,6.0
jaquay walls,2000,56,PG,Colorado,College/University,IND,73.25,,165.5,74.5,96.5,,,,28.5,35.5,10.75,,3.23,0.0
scoonie penn,2000,57,,Ohio State,College/University,ATL,,,,,,,,,,,,,,
pete mickeal,2000,58,SG-SF,Cincinnati,College/University,DAL,77.0,,222.0,81.5,103.5,,,,28.0,34.5,10.83,,3.06,8.0
a j granger,2000,999,SF,,,,79.5,,227.0,81.5,103.0,,,,30.0,34.0,10.73,,3.25,20.0
alex scales,2000,999,SG-PG,,,,74.25,,184.5,81.0,97.5,,,,38.5,42.5,10.98,,3.21,10.0
antonis fotsis,2000,999,SF,,,,81.25,,219.0,80.5,106.0,,,,27.0,30.0,11.6,,3.44,2.0
aubrey reese,2000,999,PG,,,,70.75,,189.0,77.5,94.5,,,,31.5,37.5,11.13,,3.25,14.0
bootsy thornton,2000,999,SG,,,,75.5,,194.5,78.5,101.5,,,,26.5,31.0,12.08,,3.33,7.0
brandon kurtz,2000,999,PF-C,,,,81.5,,257.0,83.25,106.5,,,,,,,,,7.0
brian montonati,2000,999,PF,,,,80.75,,215.0,82.5,106.0,,,,25.0,29.0,11.85,,3.53,5.0
caswell cyrus,2000,999,PF,,,,79.75,,220.5,86.0,107.5,,,,33.5,37.5,12.12,,3.16,18.0
ceedric goodwyn,2000,999,SF-PF,,,,78.0,,238.0,82.0,104.5,,,,,,,,,
damon reed,2000,999,PF-C,,,,80.5,,228.0,81.5,104.5,,,,27.5,31.5,11.21,,3.31,4.0
ed cota,2000,999,PG,,,,72.25,,189.0,76.0,96.5,,,,26.5,33.5,10.98,,3.24,1.0
eddie gill,2000,999,PG,,,,71.75,,176.0,76.0,93.0,,,,35.0,38.5,11.12,,3.18,13.0
eric coley,2000,999,SG-SF,,,,76.0,,205.0,83.0,102.0,,,,35.0,38.0,11.4,,3.15,10.0
gabe muoneke,2000,999,PF-SF,,,,78.25,,244.0,84.5,105.0,,,,30.5,34.0,11.0,,3.4,22.0
harold arceneaux,2000,999,SG-SF,,,,76.5,,219.0,80.5,103.0,,,,,29.0,13.8,,,0.0
jacob jaacks,2000,999,PF,,,,81.25,,238.0,83.0,105.5,,,,26.0,32.0,11.48,,3.58,3.0
jameel watkins,2000,999,PF-C,,,,81.5,,244.5,90.0,110.0,,,,28.0,30.5,12.38,,3.45,11.0
jarrett stephens,2000,999,PF,,,,77.25,,258.0,81.25,103.0,,,,27.0,29.0,11.98,,3.46,13.0
jimmie hunter,2000,999,SG-PG,,,,75.0,,170.0,80.0,100.0,,,,29.0,36.0,11.23,,3.35,0.0
johnny hemsley,2000,999,SG-SF,,,,74.75,,200.0,80.0,100.5,,,,31.5,35.0,11.5,,3.19,5.0
julius doc robinson,2000,999,PG,,,,72.0,,184.0,75.75,95.5,,,,30.0,37.5,12.54,,3.41,0.0
justin love,2000,999,PG-SG,,,,73.5,,205.5,76.5,97.5,,,,31.0,38.5,10.99,,3.31,24.0
karim shabazz,2000,999,C,,,,83.5,,224.0,87.0,111.5,,,,24.5,28.0,12.72,,3.36,2.0
kenyon jones,2000,999,PF-C,,,,81.0,,282.0,85.0,108.0,,,,28.5,30.0,12.44,,3.6,20.0
lamont barnes,2000,999,PF-C,,,,80.5,,235.5,87.5,108.0,,,,28.0,29.5,12.3,,3.4,10.0
malik allen,2000,999,PF-C,,,,80.25,,271.0,86.5,109.0,,,,25.5,29.0,11.83,,3.38,13.0
marcus goree,2000,999,SF-PF,,,,79.5,,239.0,84.5,105.5,,,,29.5,33.5,12.0,,3.25,13.0
mario bland,2000,999,PF,,,,77.5,,287.0,84.0,103.0,,,,27.0,31.0,13.04,,3.47,15.0
matt santangelo,2000,999,PG,,,,72.0,,177.0,75.0,94.0,,,,33.5,43.0,10.66,,3.06,12.0
matthew nielsen,2000,999,PF,,,,81.0,,223.0,82.5,106.0,,,,26.0,29.0,11.28,,3.35,3.0
michael hermon,2000,999,SG-PG,,,,74.75,,195.0,78.25,98.5,,,,29.0,33.0,11.79,,3.25,0.0
nate johnson,2000,999,SF,,,,78.5,,211.5,80.5,104.0,,,,27.0,33.5,11.9,,3.33,13.0
ndongo n diaye,2000,999,C,,,,83.5,,208.0,87.5,112.5,,,,24.5,27.5,13.16,,3.69,4.0
nick sheppard,2000,999,PF-C,,,,81.5,,273.0,83.0,107.5,,,,23.5,25.5,12.14,,3.52,18.0
pepe sanchez,2000,999,PG,,,,75.0,,194.0,75.5,96.0,,,,26.0,31.0,11.62,,3.44,8.0
reed rawlings,2000,999,SG-SF,,,,78.25,,218.0,81.25,104.0,,,,28.5,33.5,11.1,,3.27,13.0
ron hale,2000,999,SG-SF,,,,79.5,,202.0,83.0,104.5,,,,29.5,34.5,12.58,,3.2,11.0
schea cotton,2000,999,SF,,,,76.25,,219.5,79.0,100.0,,,,34.0,38.0,11.55,,3.0,19.0
shaheen holloway,2000,999,PG,,,,69.5,,174.0,70.0,91.0,,,,,,11.22,,3.32,6.0
terrance roberson,2000,999,SF,,,,77.5,,209.0,80.0,103.5,,,,29.0,32.5,11.66,,,11.0
vassil evtimov,2000,999,PF,,,,81.75,,262.0,82.5,106.5,,,,21.0,28.5,11.75,,3.52,13.0
kwame brown,2001,1,PF-C,Glynn Academy,High School,WAS,82.0,,243.0,85.0,108.0,8.9,,,30.0,33.0,11.59,,3.45,17.0
tyson chandler,2001,2,SF-PF,Dominguez,High School,LAC,83.5,,224.0,87.0,110.0,6.7,,,31.0,33.5,12.13,,3.36,2.0
pau gasol,2001,3,,FC Barcelona Basquet (Spain),Other Team/Club,ATL,,,,,,,,,,,,,,
eddy curry,2001,4,C,Thornwood,High School,CHI,82.5,,301.0,90.5,111.0,16.5,,,28.0,31.0,12.25,,3.53,16.0
jason richardson,2001,5,SF-SG,Michigan State,College/University,GSW,76.75,,213.0,83.5,102.5,5.3,,,32.5,39.5,11.75,,3.12,15.0
shane battier,2001,6,SF-PF,Duke,College/University,MEM,80.25,,229.0,82.5,105.0,9.3,,,29.5,33.0,10.95,,3.3,12.0
eddie griffin,2001,7,PF-SF,Seton Hall,College/University,NJN,81.25,,222.0,87.0,110.0,4.0,,,26.5,33.0,11.77,,3.21,3.0
desagana diop,2001,8,C,Oak Hill Academy,High School,CLE,82.0,,314.0,90.5,113.0,21.0,,,21.5,25.5,12.37,,3.56,15.0
rodney white,2001,9,SF,North Carolina-Charlotte,College/University,DET,79.5,,243.0,83.5,104.5,9.3,,,27.5,33.0,12.07,,3.47,16.0
joe johnson,2001,10,SF-SG,Arkansas,College/University,BOS,78.75,,226.0,81.0,105.0,6.7,,,32.5,36.5,12.05,,3.4,12.0
kedrick brown,2001,11,,Northwest Florida State,College/University,BOS,,,,,,,,,,,,,,
vladimir radmanovic,2001,12,,KK FMP (Serbia),Other Team/Club,SEA,,,,,,,,,,,,,,
richard jefferson,2001,13,SF,Arizona,College/University,HOU,79.25,,223.0,84.0,103.0,6.7,,,33.0,38.5,11.19,,3.15,14.0
troy murphy,2001,14,PF,Notre Dame,College/University,GSW,81.75,,230.0,83.0,105.5,11.7,,,28.5,34.5,11.22,,3.43,11.0
steven hunter,2001,15,C-PF,DePaul,College/University,ORL,82.25,,224.0,88.0,108.0,5.3,,,30.5,38.5,11.99,,3.15,11.0
kirk haston,2001,16,PF-SF,Indiana,College/University,CHH,80.0,,242.0,84.25,106.0,10.5,,,27.0,31.5,12.25,,3.35,11.0
michael bradley,2001,17,PF,Villanova,College/University,TOR,81.5,,227.0,85.5,107.0,9.3,,,27.0,30.0,11.11,,3.35,13.0
jason collins,2001,18,PF-C,Stanford,College/University,HOU,82.25,,251.0,88.5,110.0,12.9,,,25.5,28.5,12.1,,3.54,8.0
zach randolph,2001,19,,Michigan State,College/University,POR,,,,,,,,,,,,,,
brendan haywood,2001,20,C,North Carolina,College/University,CLE,83.75,,266.0,90.5,113.5,12.9,,,27.0,28.5,12.87,,3.5,17.0
joseph forte,2001,21,SG,North Carolina,College/University,BOS,75.5,,193.0,78.5,100.5,,,,26.5,33.0,11.51,,3.19,10.0
jeryl sasser,2001,22,PG-SG,Southern Methodist,College/University,ORL,77.5,,194.0,82.5,103.5,6.7,,,29.0,34.0,11.47,,3.22,1.0
brandon armstrong,2001,23,SG,Pepperdine,College/University,HOU,75.5,,188.0,81.5,99.5,9.3,,,30.0,37.0,10.91,,3.2,6.0
raul lopez,2001,24,,Real Madrid Baloncesto (Spain),Other Team/Club,UTA,,,,,,,,,,,,,,
gerald wallace,2001,25,,Alabama,College/University,SAC,,,,,,,,,,,,,,
samuel dalembert,2001,26,,Seton Hall,College/University,PHI,,,,,,,,,,,,,,
jamaal tinsley,2001,27,PG,Iowa State,College/University,MEM,72.75,,199.0,79.5,97.5,13.6,,,28.0,37.5,11.96,,3.2,1.0
tony parker,2001,28,,Paris Basket Racing (France),Other Team/Club,SAS,,,,,,,,,,,,,,
trenton hassell,2001,29,SG-SF,Austin Peay,College/University,CHI,76.25,,205.0,80.0,99.5,5.3,,,35.5,37.5,11.57,,3.29,12.0
gilbert arenas,2001,30,SG,Arizona,College/University,GSW,74.25,,199.0,81.5,99.5,5.3,,,31.5,36.0,,,3.25,12.0
omar cook,2001,31,PG,St. John's (NY),College/University,ORL,71.5,,189.0,77.5,92.0,5.5,,,31.0,35.5,10.77,,3.2,9.0
will solomon,2001,32,PG-SG,Clemson,College/University,MEM,71.75,,172.0,81.5,99.5,4.0,,,28.5,35.0,11.3,,3.22,4.0
terence morris,2001,33,,Maryland,College/University,ATL,,,,,,,,,,,,,,
brian scalabrine,2001,34,PF-SF,Southern California,College/University,NJN,80.75,,241.0,81.75,105.5,13.6,,,27.0,30.5,11.75,,3.47,14.0
jeff trepagnier,2001,35,,Southern California,College/University,CLE,,,,,,,,,,,,,,
damone brown,2001,36,SF,Syracuse,College/University,PHI,80.25,,202.0,83.75,104.5,6.7,,,32.0,37.0,11.81,,3.27,6.0
mehmet okur,2001,37,,Anadolu Efes S.K. (Turkey),Other Team/Club,DET,,,,,,,,,,,,,,
michael wright,2001,38,PF,Arizona,College/University,NYK,79.0,,247.0,83.5,106.5,9.3,,,27.5,33.5,11.37,,3.21,18.0
earl watson,2001,39,PG,California-Los Angeles,College/University,SEA,72.0,,184.0,78.75,97.0,4.0,,,32.5,37.5,10.97,,3.19,4.0
jamison brewer,2001,40,PG,Auburn,College/University,IND,74.5,,178.0,80.75,102.5,6.7,,,26.0,32.5,9.65,,3.15,12.0
bobby simmons,2001,41,SF,DePaul,College/University,SEA,78.25,,235.0,84.25,105.0,6.7,,,27.5,34.0,11.69,,3.41,12.0
eric chenowith,2001,42,C,Kansas,College/University,NYK,85.0,,264.0,88.0,111.0,12.9,,,23.5,27.5,12.5,,3.59,6.0
kyle hill,2001,43,,Eastern Illinois,College/University,DAL,,,,,,,,,,,,,,
sean lampley,2001,44,SF,California,College/University,CHI,77.5,,213.0,81.25,101.0,8.0,,,36.0,40.0,11.06,,3.12,12.0
loren woods,2001,45,C-PF,Arizona,College/University,MIN,84.75,,246.0,89.5,113.0,9.3,,,24.5,28.0,11.83,,3.48,10.0
ousmane cisse,2001,46,,St. Jude Educational Institute,High School,DEN,,,,,,,,,,,,,,
antonis fotsis,2001,47,,Panathinaikos B.C. (Greece),Other Team/Club,MEM,,,,,,,,,,,,,,
ken johnson,2001,48,C,Ohio State,College/University,MIA,82.75,,227.0,88.0,109.5,9.9,,,32.5,35.0,11.27,,3.12,13.0
ruben boumtje boumtje,2001,49,C,Georgetown,College/University,POR,83.5,,245.0,88.0,111.0,6.0,,,26.5,31.0,11.84,,3.33,6.0
alton ford,2001,50,PF,Houston,College/University,PHX,80.25,,271.0,82.5,102.5,8.0,,,34.5,36.5,11.7,,3.16,21.0
andre hutson,2001,51,PF,Michigan State,College/University,MIL,80.25,,244.0,83.75,105.5,11.7,,,29.0,32.5,11.25,,3.3,17.0
jarron collins,2001,52,C-PF,Stanford,College/University,UTA,81.25,,252.0,87.0,104.0,15.2,,,23.0,29.0,11.65,,3.6,10.0
kenny satterfield,2001,53,PG,Cincinnati,College/University,DAL,73.0,,176.0,76.5,98.0,6.7,,,28.5,33.0,12.05,,3.2,3.0
maurice jeffers,2001,54,,Saint Louis,College/University,SAC,,,,,,,,,,,,,,
robertas javtokas,2001,55,,BC Lietuvos rytas (Lithuania),Other Team/Club,SAS,,,,,,,,,,,,,,
alvin jones,2001,56,,Georgia Tech,College/University,PHI,,,,,,,,,,,,,,
