name,draft_year,overall_pick,birth_date,draft_age,source_url,realgm_display_name,current_team,pre_draft_team,name_score,context_score,status
peter suder,2026,,2003-07-29,22.902,https://basketball.realgm.com/info/birth-cities/918/Carmel-IN-United-States,Peter Suder,Miami (OH),Miami (OH),100.0,100.0,accepted_realgm_indexed_override
rafael castro,2026,,2000-01-14,26.439,https://basketball.realgm.com/player/Gelvis-Solano/Comparison/70434/Rafael-Castro/92185,Rafael Castro,George Washington,George Washington,100.0,100.0,accepted_realgm_indexed_override
richie saunders,2026,,2001-09-19,24.758,https://basketball.realgm.com/player/Richie-Saunders/Bio/139115,Richie Saunders,Brigham Young,Brigham Young,100.0,66.66666666666667,accepted_realgm_indexed_override
rueben chinyelu,2026,,2003-09-30,22.73,https://basketball.realgm.com/player/Rueben-Chinyelu/Bio/170741,Rueben Chinyelu,Florida,Florida,100.0,100.0,accepted_realgm_indexed_override
ryan conwell,2026,,2004-06-15,22.021,https://basketball.realgm.com/player/Ryan-Conwell/Summary/199681,Ryan Conwell,Louisville,Louisville,100.0,100.0,accepted_realgm_indexed_override
sergio de larrea,2026,,2005-12-04,20.55,https://basketball.realgm.com/player/Sergio-De-Larrea/Summary/175825,Sergio De Larrea,Valencia Basket,Valencia Basket,100.0,100.0,accepted_realgm_indexed_override
tarris reed,2026,,2003-08-05,22.883,https://basketball.realgm.com/ncaa/awards/14/NCAA-East-All-Region-Team,"Tarris Reed, Jr.",UConn,UConn,100.0,88.88888888888889,accepted_realgm_indexed_override
tobe awaka,2026,,2004-01-30,22.396,https://basketball.realgm.com/ncaa/conferences/Big-12-Conference/3/Awards/Historical?f=i,Tobe Awaka,Arizona,Arizona,100.0,100.0,accepted_realgm_indexed_override
tobi lawal,2026,,2003-05-01,23.146,https://basketball.realgm.com/player/Tobi-Lawal/Bio/202405,Tobi Lawal,Virginia Tech,Virginia Tech,100.0,100.0,accepted_realgm_indexed_override
tounde yessoufou,2026,,2006-05-15,20.107,https://basketball.realgm.com/player/Tounde-Yessoufou/Bio/199606,Tounde Yessoufou,Baylor,Baylor,100.0,100.0,accepted_realgm_indexed_override
trevon brazile,2026,,2003-01-07,23.458,https://basketball.realgm.com/info/birthdays/20030107/1,Trevon Brazile,Arkansas,Arkansas,100.0,100.0,accepted_realgm_indexed_override
trey kaufman renn,2026,,2002-08-19,23.844,https://basketball.realgm.com/player/Trey-Kaufman-Renn/Bio/152727,Trey Kaufman-Renn,Purdue,Purdue,100.0,100.0,accepted_realgm_indexed_override
tyler bilodeau,2026,,2004-04-17,22.182,https://basketball.realgm.com/ncaa/conferences/Big-Ten-Conference/2/UCLA/241/Rosters/2026,Tyler Bilodeau,UCLA,UCLA,100.0,100.0,accepted_realgm_indexed_override
tyler nickel,2026,,2003-09-05,22.798,https://basketball.realgm.com/player/Tyler-Nickel/Summary/176059,Tyler Nickel,Vanderbilt,Vanderbilt,100.0,100.0,accepted_realgm_indexed_override
tyler tanner,2026,,2006-02-01,20.389,https://basketball.realgm.com/ncaa/players/2026/T,Tyler Tanner,Vanderbilt,Vanderbilt,100.0,100.0,accepted_realgm_indexed_override
ugonna onyenso,2026,,2004-09-25,21.741,https://basketball.realgm.com/player/Ugonna-Onyenso/Summary/192946,Ugonna Onyenso,Virginia,Virginia,100.0,100.0,accepted_realgm_indexed_override
yaxel lendeborg,2026,,2002-09-30,23.729,https://basketball.realgm.com/player/Yaxel-Lendeborg/Bio/177627,Yaxel Lendeborg,Michigan,Michigan,100.0,100.0,accepted_realgm_indexed_override
zuby ejiofor,2026,,2004-04-20,22.174,https://basketball.realgm.com/player/Zuby-Ejiofor/Bio/176053,Zuby Ejiofor,St. John's,St. John's,100.0,100.0,accepted_realgm_indexed_override
