name,draft_year,overall_pick,birth_date,draft_date,draft_age,birth_date_source,birth_date_confidence,age_validation_status
marko tomas,2004,999.0,1985-01-03,2004-06-24,19.472,wikidata_fallback,medium,valid_wikidata_fallback
martin iti,2004,999.0,1983-02-28,2004-06-24,21.32,wikidata_fallback,medium,valid_wikidata_fallback
michel morandais,2004,999.0,1979-01-10,2004-06-24,25.454,wikidata_fallback,medium,valid_wikidata_fallback
mike williams,2004,999.0,,2004-06-24,,common_player_info_error:KeyError,none,missing_birth_date
misan nikagbatse,2004,999.0,1982-07-07,2004-06-24,21.966,wikidata_fallback,medium,valid_wikidata_fallback
nate robinson,2004,999.0,1984-05-31,2004-06-24,20.066,nba_api_commonplayerinfo,high,valid_nba_api
nate williams,2004,999.0,,2004-06-24,,common_player_info_error:KeyError,none,missing_birth_date
omar quintero,2004,999.0,,2004-06-24,,common_player_info_error:KeyError,none,missing_birth_date
randall orr,2004,999.0,,2004-06-24,,common_player_info_error:KeyError,none,missing_birth_date
rich melzer,2004,999.0,,2004-06-24,,common_player_info_error:KeyError,none,missing_birth_date
rolando howell,2004,999.0,,2004-06-24,,common_player_info_error:KeyError,none,missing_birth_date
ryan gomes,2004,999.0,1982-09-01,2004-06-24,21.812,nba_api_commonplayerinfo,high,valid_nba_api
tiago splitter,2004,999.0,,2004-06-24,,common_player_info_error:KeyError,none,missing_birth_date
tim bowers,2004,999.0,,2004-06-24,,common_player_info_error:KeyError,none,missing_birth_date
tj cummings,2004,999.0,,2004-06-24,,common_player_info_error:KeyError,none,missing_birth_date
tom timmerrmans,2004,999.0,,2004-06-24,,common_player_info_error:KeyError,none,missing_birth_date
tony bobbitt,2004,999.0,1979-10-22,2004-06-24,24.674,nba_api_commonplayerinfo,high,valid_nba_api
andrew bogut,2005,1.0,1984-11-28,2005-06-28,20.58,nba_api_commonplayerinfo,high,valid_nba_api
marvin williams,2005,2.0,1986-06-19,2005-06-28,19.025,nba_api_commonplayerinfo,high,valid_nba_api
deron williams,2005,3.0,1984-06-26,2005-06-28,21.005,nba_api_commonplayerinfo,high,valid_nba_api
chris paul,2005,4.0,1985-05-06,2005-06-28,20.145,nba_api_commonplayerinfo,high,valid_nba_api
raymond felton,2005,5.0,1984-06-26,2005-06-28,21.005,nba_api_commonplayerinfo,high,valid_nba_api
martell webster,2005,6.0,1986-12-04,2005-06-28,18.565,nba_api_commonplayerinfo,high,valid_nba_api
charlie villanueva,2005,7.0,1984-08-24,2005-06-28,20.843,nba_api_commonplayerinfo,high,valid_nba_api
channing frye,2005,8.0,1983-05-17,2005-06-28,22.116,nba_api_commonplayerinfo,high,valid_nba_api
ike diogu,2005,9.0,1983-09-11,2005-06-28,21.796,nba_api_commonplayerinfo,high,valid_nba_api
andrew bynum,2005,10.0,1987-10-27,2005-06-28,17.67,nba_api_commonplayerinfo,high,valid_nba_api
fran vazquez,2005,11.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
yaroslav korolev,2005,12.0,1987-05-07,2005-06-28,18.144,nba_api_commonplayerinfo,high,valid_nba_api
sean may,2005,13.0,1984-04-04,2005-06-28,21.232,nba_api_commonplayerinfo,high,valid_nba_api
rashad mccants,2005,14.0,1984-09-25,2005-06-28,20.756,nba_api_commonplayerinfo,high,valid_nba_api
antoine wright,2005,15.0,1984-02-06,2005-06-28,21.391,nba_api_commonplayerinfo,high,valid_nba_api
joey graham,2005,16.0,1982-06-11,2005-06-28,23.047,nba_api_commonplayerinfo,high,valid_nba_api
danny granger,2005,17.0,1983-04-20,2005-06-28,22.19,nba_api_commonplayerinfo,high,valid_nba_api
gerald green,2005,18.0,1986-01-26,2005-06-28,19.42,nba_api_commonplayerinfo,high,valid_nba_api
hakim warrick,2005,19.0,1982-07-08,2005-06-28,22.973,nba_api_commonplayerinfo,high,valid_nba_api
julius hodge,2005,20.0,1983-11-18,2005-06-28,21.61,nba_api_commonplayerinfo,high,valid_nba_api
nate robinson,2005,21.0,1984-05-31,2005-06-28,21.076,nba_api_commonplayerinfo,high,valid_nba_api
jarrett jack,2005,22.0,1983-10-28,2005-06-28,21.667,nba_api_commonplayerinfo,high,valid_nba_api
francisco garcia,2005,23.0,1981-12-31,2005-06-28,23.491,nba_api_commonplayerinfo,high,valid_nba_api
luther head,2005,24.0,1982-11-26,2005-06-28,22.587,nba_api_commonplayerinfo,high,valid_nba_api
johan petro,2005,25.0,1986-01-27,2005-06-28,19.417,nba_api_commonplayerinfo,high,valid_nba_api
jason maxiell,2005,26.0,1983-02-18,2005-06-28,22.357,nba_api_commonplayerinfo,high,valid_nba_api
linas kleiza,2005,27.0,1985-01-03,2005-06-28,20.482,nba_api_commonplayerinfo,high,valid_nba_api
ian mahinmi,2005,28.0,1986-11-05,2005-06-28,18.645,nba_api_commonplayerinfo,high,valid_nba_api
wayne simien,2005,29.0,1983-03-09,2005-06-28,22.305,nba_api_commonplayerinfo,high,valid_nba_api
david lee,2005,30.0,1983-04-29,2005-06-28,22.166,nba_api_commonplayerinfo,high,valid_nba_api
salim stoudamire,2005,31.0,1982-10-11,2005-06-28,22.713,nba_api_commonplayerinfo,high,valid_nba_api
daniel ewing,2005,32.0,1983-03-26,2005-06-28,22.259,nba_api_commonplayerinfo,high,valid_nba_api
brandon bass,2005,33.0,1985-04-30,2005-06-28,20.162,nba_api_commonplayerinfo,high,valid_nba_api
cj miles,2005,34.0,1987-03-18,2005-06-28,18.281,nba_api_commonplayerinfo,high,valid_nba_api
ricky sanchez,2005,35.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
ersan ilyasova,2005,36.0,1987-05-15,2005-06-28,18.122,nba_api_commonplayerinfo,high,valid_nba_api
ronny turiaf,2005,37.0,1983-01-13,2005-06-28,22.456,nba_api_commonplayerinfo,high,valid_nba_api
travis diener,2005,38.0,1982-03-01,2005-06-28,23.326,nba_api_commonplayerinfo,high,valid_nba_api
von wafer,2005,39.0,1985-07-21,2005-06-28,19.937,nba_api_commonplayerinfo,high,valid_nba_api
monta ellis,2005,40.0,1985-10-26,2005-06-28,19.671,nba_api_commonplayerinfo,high,valid_nba_api
roko ukic,2005,41.0,1984-12-05,2005-06-28,20.561,nba_api_commonplayerinfo,high,valid_nba_api
chris taft,2005,42.0,1985-03-10,2005-06-28,20.301,nba_api_commonplayerinfo,high,valid_nba_api
mile ilic,2005,43.0,1984-06-02,2005-06-28,21.07,nba_api_commonplayerinfo,high,valid_nba_api
martynas andriuskevicius,2005,44.0,1986-03-12,2005-06-28,19.296,nba_api_commonplayerinfo,high,valid_nba_api
lou williams,2005,45.0,1986-10-27,2005-06-28,18.669,nba_api_commonplayerinfo,high,valid_nba_api
erazem lorbek,2005,46.0,1984-02-21,2005-06-28,21.35,nba_api_commonplayerinfo,high,valid_nba_api
bracey wright,2005,47.0,1984-07-01,2005-06-28,20.991,nba_api_commonplayerinfo,high,valid_nba_api
mickael gelabale,2005,48.0,1983-05-22,2005-06-28,22.103,nba_api_commonplayerinfo,high,valid_nba_api
andray blatche,2005,49.0,1986-08-22,2005-06-28,18.85,nba_api_commonplayerinfo,high,valid_nba_api
ryan gomes,2005,50.0,1982-09-01,2005-06-28,22.823,nba_api_commonplayerinfo,high,valid_nba_api
robert whaley,2005,51.0,1982-04-16,2005-06-28,23.201,nba_api_commonplayerinfo,high,valid_nba_api
axel hervelle,2005,52.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
orien greene,2005,53.0,1982-02-04,2005-06-28,23.395,nba_api_commonplayerinfo,high,valid_nba_api
dijon thompson,2005,54.0,1983-03-23,2005-06-28,22.267,nba_api_commonplayerinfo,high,valid_nba_api
lawrence roberts,2005,55.0,1982-10-20,2005-06-28,22.689,nba_api_commonplayerinfo,high,valid_nba_api
amir johnson,2005,56.0,1987-05-01,2005-06-28,18.16,nba_api_commonplayerinfo,high,valid_nba_api
marcin gortat,2005,57.0,1984-02-17,2005-06-28,21.361,nba_api_commonplayerinfo,high,valid_nba_api
uros slokar,2005,58.0,1983-05-14,2005-06-28,22.125,nba_api_commonplayerinfo,high,valid_nba_api
cenk akyol,2005,59.0,1987-04-16,2005-06-28,18.201,nba_api_commonplayerinfo,high,valid_nba_api
alex acker,2005,60.0,1983-01-21,2005-06-28,22.434,nba_api_commonplayerinfo,high,valid_nba_api
aaron miles,2005,999.0,1983-04-13,2005-06-28,22.209,nba_api_commonplayerinfo,high,valid_nba_api
alan anderson,2005,999.0,1982-10-16,2005-06-28,22.7,nba_api_commonplayerinfo,high,valid_nba_api
anthony roberson,2005,999.0,1983-02-14,2005-06-28,22.368,nba_api_commonplayerinfo,high,valid_nba_api
brandon rush,2005,999.0,1985-07-07,2005-06-28,19.975,nba_api_commonplayerinfo,high,valid_nba_api
carl krauser,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
carlos powell,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
charles hayes,2005,999.0,,2005-06-28,,nba_api_commonplayerinfo,none,rejected_name_mismatch
chris thomas,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
d or fischer,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
daryl dorsey,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
david lucas,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
david simon,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
dee brown,2005,999.0,1984-08-17,2005-06-28,20.862,nba_api_commonplayerinfo,high,valid_nba_api
deji akindele,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
deng gai,2005,999.0,1982-03-22,2005-06-28,23.269,nba_api_commonplayerinfo,high,valid_nba_api
drago pasalic,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
dwayne jones,2005,999.0,1983-06-09,2005-06-28,22.053,nba_api_commonplayerinfo,high,valid_nba_api
eddie basden,2005,999.0,1983-02-15,2005-06-28,22.366,nba_api_commonplayerinfo,high,valid_nba_api
eddy fobbs,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
ellis myles,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
ivan mcfarlin,2005,999.0,1982-04-26,2005-06-28,23.173,nba_api_commonplayerinfo,high,valid_nba_api
jared homan,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
jason klotz,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
jawad williams,2005,999.0,1983-02-19,2005-06-28,22.355,nba_api_commonplayerinfo,high,valid_nba_api
john gilchrist,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
john lucas,2005,999.0,1982-11-21,2005-06-28,22.601,nba_api_commonplayerinfo,high,valid_nba_api
juan mendez,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
keith langford,2005,999.0,1983-09-15,2005-06-28,21.785,nba_api_commonplayerinfo,high,valid_nba_api
kevin pittsnogle,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
larry o bannon,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
luke schenscher,2005,999.0,1981-12-31,2005-06-28,23.491,nba_api_commonplayerinfo,high,valid_nba_api
marcus campbell,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
mike bell,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
mindaugas katelynas,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
mustafa al sayyad,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
nemanja aleksandrov,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
omar thomas,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
rawle marshall,2005,999.0,1982-02-20,2005-06-28,23.351,nba_api_commonplayerinfo,high,valid_nba_api
roger powell,2005,999.0,1983-01-15,2005-06-28,22.45,nba_api_commonplayerinfo,high,valid_nba_api
ronnie price,2005,999.0,1983-06-21,2005-06-28,22.021,nba_api_commonplayerinfo,high,valid_nba_api
rudy fernandez,2005,999.0,1985-04-04,2005-06-28,20.233,nba_api_commonplayerinfo,high,valid_nba_api
sean banks,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
sharrod ford,2005,999.0,1982-01-09,2005-06-28,23.466,nba_api_commonplayerinfo,high,valid_nba_api
taylor coppenrath,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
tre simmons,2005,999.0,,2005-06-28,,common_player_info_error:KeyError,none,missing_birth_date
will bynum,2005,999.0,1983-01-04,2005-06-28,22.48,nba_api_commonplayerinfo,high,valid_nba_api
will conroy,2005,999.0,1982-12-08,2005-06-28,22.554,nba_api_commonplayerinfo,high,valid_nba_api
andrea bargnani,2006,1.0,1985-10-26,2006-06-28,20.671,nba_api_commonplayerinfo,high,valid_nba_api
lamarcus aldridge,2006,2.0,1985-07-19,2006-06-28,20.942,nba_api_commonplayerinfo,high,valid_nba_api
adam morrison,2006,3.0,1984-07-19,2006-06-28,21.941,nba_api_commonplayerinfo,high,valid_nba_api
tyrus thomas,2006,4.0,1986-08-17,2006-06-28,19.863,nba_api_commonplayerinfo,high,valid_nba_api
shelden williams,2006,5.0,1983-10-21,2006-06-28,22.686,nba_api_commonplayerinfo,high,valid_nba_api
brandon roy,2006,6.0,1984-07-23,2006-06-28,21.93,nba_api_commonplayerinfo,high,valid_nba_api
randy foye,2006,7.0,1983-09-24,2006-06-28,22.76,nba_api_commonplayerinfo,high,valid_nba_api
rudy gay,2006,8.0,1986-08-17,2006-06-28,19.863,nba_api_commonplayerinfo,high,valid_nba_api
patrick o bryant,2006,9.0,1986-06-20,2006-06-28,20.022,nba_api_commonplayerinfo,high,valid_nba_api
mouhamed sene,2006,10.0,1986-05-12,2006-06-28,20.129,nba_api_commonplayerinfo,high,valid_nba_api
jj redick,2006,11.0,1984-06-24,2006-06-28,22.01,nba_api_commonplayerinfo,high,valid_nba_api
hilton armstrong,2006,12.0,1984-11-23,2006-06-28,21.593,nba_api_commonplayerinfo,high,valid_nba_api
thabo sefolosha,2006,13.0,1984-05-02,2006-06-28,22.155,nba_api_commonplayerinfo,high,valid_nba_api
ronnie brewer,2006,14.0,1985-03-20,2006-06-28,21.273,nba_api_commonplayerinfo,high,valid_nba_api
cedric simmons,2006,15.0,1986-01-03,2006-06-28,20.482,nba_api_commonplayerinfo,high,valid_nba_api
rodney carney,2006,16.0,1984-04-05,2006-06-28,22.229,nba_api_commonplayerinfo,high,valid_nba_api
shawne williams,2006,17.0,1986-02-16,2006-06-28,20.361,nba_api_commonplayerinfo,high,valid_nba_api
oleksiy pecherov,2006,18.0,1985-12-08,2006-06-28,20.553,nba_api_commonplayerinfo,high,valid_nba_api
quincy douby,2006,19.0,1984-05-16,2006-06-28,22.116,nba_api_commonplayerinfo,high,valid_nba_api
renaldo balkman,2006,20.0,1984-07-14,2006-06-28,21.955,nba_api_commonplayerinfo,high,valid_nba_api
rajon rondo,2006,21.0,1986-02-22,2006-06-28,20.345,nba_api_commonplayerinfo,high,valid_nba_api
marcus williams,2006,22.0,1985-12-03,2006-06-28,20.567,nba_api_commonplayerinfo,high,valid_nba_api
josh boone,2006,23.0,1984-11-21,2006-06-28,21.599,nba_api_commonplayerinfo,high,valid_nba_api
kyle lowry,2006,24.0,1986-03-25,2006-06-28,20.26,nba_api_commonplayerinfo,high,valid_nba_api
shannon brown,2006,25.0,1985-11-29,2006-06-28,20.578,nba_api_commonplayerinfo,high,valid_nba_api
jordan farmar,2006,26.0,1986-11-30,2006-06-28,19.576,nba_api_commonplayerinfo,high,valid_nba_api
sergio rodriguez,2006,27.0,1986-06-12,2006-06-28,20.044,nba_api_commonplayerinfo,high,valid_nba_api
maurice ager,2006,28.0,1984-02-09,2006-06-28,22.382,nba_api_commonplayerinfo,high,valid_nba_api
mardy collins,2006,29.0,1984-08-04,2006-06-28,21.897,nba_api_commonplayerinfo,high,valid_nba_api
joel freeland,2006,30.0,1987-02-07,2006-06-28,19.387,nba_api_commonplayerinfo,high,valid_nba_api
james white,2006,31.0,1982-10-21,2006-06-28,23.685,nba_api_commonplayerinfo,high,valid_nba_api
steve novak,2006,32.0,1983-06-13,2006-06-28,23.042,nba_api_commonplayerinfo,high,valid_nba_api
solomon jones,2006,33.0,1984-07-16,2006-06-28,21.949,nba_api_commonplayerinfo,high,valid_nba_api
paul davis,2006,34.0,1984-07-21,2006-06-28,21.936,nba_api_commonplayerinfo,high,valid_nba_api
p j tucker,2006,35.0,1985-05-05,2006-06-28,21.147,nba_api_commonplayerinfo,high,valid_nba_api
craig smith,2006,36.0,1983-11-10,2006-06-28,22.631,nba_api_commonplayerinfo,high,valid_nba_api
bobby jones,2006,37.0,1984-01-09,2006-06-28,22.467,nba_api_commonplayerinfo,high,valid_nba_api
kosta perovic,2006,38.0,1985-02-19,2006-06-28,21.352,nba_api_commonplayerinfo,high,valid_nba_api
david noel,2006,39.0,1984-02-27,2006-06-28,22.333,nba_api_commonplayerinfo,high,valid_nba_api
denham brown,2006,40.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
james augustine,2006,41.0,1984-02-27,2006-06-28,22.333,nba_api_commonplayerinfo,high,valid_nba_api
daniel gibson,2006,42.0,1986-02-27,2006-06-28,20.331,nba_api_commonplayerinfo,high,valid_nba_api
marcus vinicius,2006,43.0,1984-05-31,2006-06-28,22.075,nba_api_commonplayerinfo,high,valid_nba_api
lior eliyahu,2006,44.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
alexander johnson,2006,45.0,1983-02-08,2006-06-28,23.384,nba_api_commonplayerinfo,high,valid_nba_api
dee brown,2006,46.0,1984-08-17,2006-06-28,21.862,nba_api_commonplayerinfo,high,valid_nba_api
paul millsap,2006,47.0,1985-02-10,2006-06-28,21.377,nba_api_commonplayerinfo,high,valid_nba_api
vladimir veremeenko,2006,48.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
leon powe,2006,49.0,1984-01-22,2006-06-28,22.431,nba_api_commonplayerinfo,high,valid_nba_api
ryan hollins,2006,50.0,1984-10-10,2006-06-28,21.714,nba_api_commonplayerinfo,high,valid_nba_api
cheikh samb,2006,51.0,1984-10-22,2006-06-28,21.681,nba_api_commonplayerinfo,high,valid_nba_api
guillermo diaz,2006,52.0,1985-03-04,2006-06-28,21.317,nba_api_commonplayerinfo,high,valid_nba_api
yotam halperin,2006,53.0,1984-01-24,2006-06-28,22.426,nba_api_commonplayerinfo,high,valid_nba_api
hassan adams,2006,54.0,1984-06-20,2006-06-28,22.021,nba_api_commonplayerinfo,high,valid_nba_api
ejike ugboaja,2006,55.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
edin bavcic,2006,56.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
loukas mavrokefalidis,2006,57.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
pinnock,2006,58.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
damir markota,2006,59.0,1985-12-26,2006-06-28,20.504,nba_api_commonplayerinfo,high,valid_nba_api
will blalock,2006,60.0,1983-09-08,2006-06-28,22.804,nba_api_commonplayerinfo,high,valid_nba_api
allan ray,2006,999.0,1984-06-17,2006-06-28,22.029,nba_api_commonplayerinfo,high,valid_nba_api
antywane robinson,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
blake schilb,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
brad buckman,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
brandon bowman,2006,999.0,1984-09-15,2006-06-28,21.782,nba_api_commonplayerinfo,high,valid_nba_api
carl krauser,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
chris mccray,2006,999.0,1984-05-27,2006-06-28,22.086,nba_api_commonplayerinfo,high,valid_nba_api
chris quinn,2006,999.0,1983-09-27,2006-06-28,22.752,nba_api_commonplayerinfo,high,valid_nba_api
cj watson,2006,999.0,1984-04-17,2006-06-28,22.196,nba_api_commonplayerinfo,high,valid_nba_api
curtis stinson,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
curtis withers,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
dan grunfeld,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
daniel horton,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
danilo pinnock,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
darius washington,2006,999.0,1985-12-06,2006-06-28,20.559,nba_api_commonplayerinfo,high,valid_nba_api
dwayne mitchell,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
eric hicks,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
eric williams,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
frans steyn,2006,999.0,1987-05-14,2006-06-28,19.124,wikidata_fallback,medium,valid_wikidata_fallback
gerry mcnamara,2006,999.0,1983-08-28,2006-06-28,22.834,wikidata_fallback,medium,valid_wikidata_fallback
ian vouyoukas,2006,999.0,1985-05-31,2006-06-28,21.076,wikidata_fallback,medium,valid_wikidata_fallback
j p batista,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
joah tucker,2006,999.0,1983-01-06,2006-06-28,23.474,wikidata_fallback,medium,valid_wikidata_fallback
justin williams,2006,999.0,1984-05-12,2006-06-28,22.127,nba_api_commonplayerinfo,high,valid_nba_api
kenny adeleke,2006,999.0,1983-02-10,2006-06-28,23.379,wikidata_fallback,medium,valid_wikidata_fallback
keydren clark,2006,999.0,1984-10-08,2006-06-28,21.719,wikidata_fallback,medium,valid_wikidata_fallback
lou amundson,2006,999.0,1982-12-07,2006-06-28,23.556,nba_api_commonplayerinfo,high,valid_nba_api
marco killingsworth,2006,999.0,1982-02-21,2006-06-28,24.348,wikidata_fallback,medium,valid_wikidata_fallback
marcus slaughter,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
matt haryasz,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
michael southhall,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
morris almond,2006,999.0,1985-02-02,2006-06-28,21.399,nba_api_commonplayerinfo,high,valid_nba_api
nick george,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
nik caner medley,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
paul miller,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
pops mensah bonsu,2006,999.0,1983-09-07,2006-06-28,22.806,nba_api_commonplayerinfo,high,valid_nba_api
rashad anderson,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
sean dockery,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
steven smith,2006,999.0,1983-04-12,2006-06-28,23.211,nba_api_commonplayerinfo,high,valid_nba_api
taj gray,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
taquan dean,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
tarence kinsey,2006,999.0,1984-03-21,2006-06-28,22.27,nba_api_commonplayerinfo,high,valid_nba_api
tedric hill,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
terence dials,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
torin francis,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
viktor keyru,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
yemi nicholson,2006,999.0,,2006-06-28,,common_player_info_error:KeyError,none,missing_birth_date
greg oden,2007,1.0,1988-01-22,2007-06-28,19.431,nba_api_commonplayerinfo,high,valid_nba_api
kevin durant,2007,2.0,1988-09-29,2007-06-28,18.743,nba_api_commonplayerinfo,high,valid_nba_api
al horford,2007,3.0,1986-06-03,2007-06-28,21.068,nba_api_commonplayerinfo,high,valid_nba_api
mike conley,2007,4.0,1987-10-11,2007-06-28,19.713,nba_api_commonplayerinfo,high,valid_nba_api
jeff green,2007,5.0,1986-08-28,2007-06-28,20.832,nba_api_commonplayerinfo,high,valid_nba_api
yi jianlian,2007,6.0,1987-10-27,2007-06-28,19.669,nba_api_commonplayerinfo,high,valid_nba_api
corey brewer,2007,7.0,1986-03-05,2007-06-28,21.314,nba_api_commonplayerinfo,high,valid_nba_api
brandan wright,2007,8.0,1987-10-05,2007-06-28,19.729,nba_api_commonplayerinfo,high,valid_nba_api
joakim noah,2007,9.0,1985-02-25,2007-06-28,22.335,nba_api_commonplayerinfo,high,valid_nba_api
spencer hawes,2007,10.0,1988-04-28,2007-06-28,19.165,nba_api_commonplayerinfo,high,valid_nba_api
acie law,2007,11.0,1985-01-25,2007-06-28,22.42,nba_api_commonplayerinfo,high,valid_nba_api
thaddeus young,2007,12.0,1988-06-21,2007-06-28,19.017,nba_api_commonplayerinfo,high,valid_nba_api
julian wright,2007,13.0,1987-05-20,2007-06-28,20.107,nba_api_commonplayerinfo,high,valid_nba_api
al thornton,2007,14.0,1983-12-07,2007-06-28,23.556,nba_api_commonplayerinfo,high,valid_nba_api
rodney stuckey,2007,15.0,1986-04-21,2007-06-28,21.185,nba_api_commonplayerinfo,high,valid_nba_api
nick young,2007,16.0,1985-06-01,2007-06-28,22.073,nba_api_commonplayerinfo,high,valid_nba_api
sean williams,2007,17.0,1986-09-13,2007-06-28,20.789,nba_api_commonplayerinfo,high,valid_nba_api
marco belinelli,2007,18.0,1986-03-25,2007-06-28,21.259,nba_api_commonplayerinfo,high,valid_nba_api
javaris crittenton,2007,19.0,1987-12-31,2007-06-28,19.491,nba_api_commonplayerinfo,high,valid_nba_api
jason smith,2007,20.0,1986-03-02,2007-06-28,21.322,nba_api_commonplayerinfo,high,valid_nba_api
daequan cook,2007,21.0,1987-04-28,2007-06-28,20.167,nba_api_commonplayerinfo,high,valid_nba_api
jared dudley,2007,22.0,1985-07-10,2007-06-28,21.966,nba_api_commonplayerinfo,high,valid_nba_api
wilson chandler,2007,23.0,1987-05-10,2007-06-28,20.134,nba_api_commonplayerinfo,high,valid_nba_api
rudy fernandez,2007,24.0,1985-04-04,2007-06-28,22.231,nba_api_commonplayerinfo,high,valid_nba_api
morris almond,2007,25.0,1985-02-02,2007-06-28,22.398,nba_api_commonplayerinfo,high,valid_nba_api
aaron brooks,2007,26.0,1985-01-14,2007-06-28,22.45,nba_api_commonplayerinfo,high,valid_nba_api
arron afflalo,2007,27.0,1985-10-15,2007-06-28,21.7,nba_api_commonplayerinfo,high,valid_nba_api
tiago splitter,2007,28.0,1985-01-01,2007-06-28,22.486,nba_api_commonplayerinfo,high,valid_nba_api
alando tucker,2007,29.0,1984-02-11,2007-06-28,23.376,nba_api_commonplayerinfo,high,valid_nba_api
petteri koponen,2007,30.0,,2007-06-28,,common_player_info_error:KeyError,none,missing_birth_date
carl landry,2007,31.0,1983-09-19,2007-06-28,23.773,nba_api_commonplayerinfo,high,valid_nba_api
gabe pruitt,2007,32.0,1986-04-19,2007-06-28,21.191,nba_api_commonplayerinfo,high,valid_nba_api
marcus williams,2007,33.0,1986-11-18,2007-06-28,20.608,nba_api_commonplayerinfo,high,valid_nba_api
nick fazekas,2007,34.0,1985-06-17,2007-06-28,22.029,nba_api_commonplayerinfo,high,valid_nba_api
