model_rank,name,position,organization,predicted_group,ranked_model_group,draft_board_score,max_probability,prob_top_5,prob_picks_6_14,prob_picks_15_30,prob_second_round,prob_undrafted
56,braden smith,PG,Purdue,second_round,second_round,0.642,0.368,0.06,0.059,0.196,0.368,0.316
57,alex karaban,PF,Connecticut,second_round,second_round,0.61,0.367,0.036,0.096,0.183,0.367,0.318
58,bryce hopkins,PF,St. John's,second_round,second_round,0.598,0.477,0.016,0.076,0.193,0.477,0.238
59,nicholas boyd,PG,Wisconsin,second_round,second_round,0.579,0.396,0.022,0.08,0.213,0.396,0.289
60,nick martinelli,PF,Northwestern,undrafted,second_round,0.553,0.368,0.031,0.124,0.155,0.322,0.368
61,jaden bradley,PG,Arizona,second_round,undrafted,0.546,0.424,0.036,0.058,0.183,0.424,0.298
62,felix okpara,C,Tennessee,undrafted,undrafted,0.529,0.343,0.033,0.074,0.21,0.34,0.343
63,john blackwell,SG,Wisconsin,undrafted,undrafted,0.502,0.389,0.024,0.115,0.189,0.282,0.389
64,otega oweh,SG,Kentucky,second_round,undrafted,0.498,0.437,0.021,0.068,0.178,0.437,0.297
65,ryan conwell,SG,Louisville,second_round,undrafted,0.484,0.407,0.012,0.088,0.181,0.407,0.313
66,trey kaufman renn,PF,Purdue,second_round,undrafted,0.47,0.373,0.025,0.073,0.188,0.373,0.341
67,emanuel sharp,SG,Houston,undrafted,undrafted,0.386,0.378,0.008,0.09,0.192,0.332,0.378
68,aaron nkrumah,SG,Tennessee St.,second_round,undrafted,0.372,0.391,0.034,0.061,0.136,0.391,0.379
69,tobi lawal,PF,Virginia Tech,second_round,undrafted,0.368,0.415,0.018,0.05,0.175,0.415,0.342
70,tyler nickel,SF,Vanderbilt,second_round,undrafted,0.343,0.408,0.014,0.057,0.168,0.408,0.353
71,tyler bilodeau,PF,UCLA,undrafted,undrafted,0.296,0.458,0.026,0.078,0.172,0.266,0.458
72,andrej stojakovic,SF,Illinois,undrafted,undrafted,0.254,0.41,0.014,0.054,0.172,0.35,0.41
73,milos uzan,PG,Houston,undrafted,undrafted,0.249,0.416,0.041,0.035,0.103,0.404,0.416
74,peter suder,SG,Miami OH,undrafted,undrafted,0.111,0.437,0.017,0.043,0.084,0.419,0.437
